"","V1","Date","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Cases_45_54","Cases_55_64","Cases_65","Cases_Unknown","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Deaths_45_54","Deaths_55_64","Deaths_65","Deaths_Unknown","Cases_0_17","Cases_25_44","Cases_45_64","Deaths_0_17","Deaths_25_44","Deaths_45_64","New_Cases_0_10","New_Cases_11_17","New_Cases_18_24","New_Cases_25_34","New_Cases_35_44","New_Cases_45_54","New_Cases_55_64","New_Cases_65","New_Deaths_0_10","New_Deaths_11_17","New_Deaths_18_24","New_Deaths_25_34","New_Deaths_35_44","New_Deaths_45_54","New_Deaths_55_64","New_Deaths_65","New_Cases_0_17","New_Cases_25_44","New_Cases_45_64","New_Deaths_0_17","New_Deaths_25_44","New_Deaths_45_64"
"1:21","1:20","2021-09-15",37080,43837,60724,78756,73059,65115,56107,64432,NA,NA,NA,20,77,189,431,1044,5598,NA,NA,NA,NA,3,NA,NA,254,282,216,286,275,205,182,219,NA,NA,0,1,0,2,8,17,NA,NA,NA,0,NA,NA
"1:22","1:21","2021-09-14",36826,43555,60508,78470,72784,64910,55925,64213,NA,NA,NA,20,76,189,429,1036,5581,NA,NA,NA,NA,3,NA,NA,263,214,164,235,188,167,146,167,NA,NA,1,1,3,6,6,19,NA,NA,NA,0,NA,NA
"1:23","1:22","2021-09-13",36563,43341,60344,78235,72596,64743,55779,64046,NA,NA,NA,19,75,186,423,1030,5562,NA,NA,NA,NA,3,NA,NA,79,70,70,106,111,76,58,76,NA,NA,1,2,0,1,9,18,NA,NA,NA,0,NA,NA
"1:24","1:23","2021-09-12",36484,43271,60274,78129,72485,64667,55721,63970,NA,NA,NA,18,73,186,422,1021,5544,NA,NA,NA,NA,3,NA,NA,83,159,173,188,168,127,103,115,NA,NA,0,0,3,3,1,28,NA,NA,NA,0,NA,NA
"1:25","1:24","2021-09-11",36401,43112,60101,77941,72317,64540,55618,63855,NA,NA,NA,18,73,183,419,1020,5516,NA,NA,NA,NA,3,NA,NA,151,291,206,272,233,200,193,203,NA,NA,0,1,1,2,13,16,NA,NA,NA,0,NA,NA
"1:26","1:25","2021-09-10",36250,42821,59895,77669,72084,64340,55425,63652,NA,NA,NA,18,72,182,417,1007,5500,NA,NA,NA,NA,3,NA,NA,483,341,217,298,280,176,167,197,NA,NA,0,0,2,5,4,19,NA,NA,NA,0,NA,NA
"1:27","1:26","2021-09-09",35767,42480,59678,77371,71804,64164,55258,63455,NA,NA,NA,18,72,180,412,1003,5481,NA,NA,NA,NA,3,NA,NA,220,416,255,392,340,386,241,231,NA,NA,1,0,1,2,7,16,NA,NA,NA,0,NA,NA
"1:28","1:27","2021-09-08",35547,42064,59423,76979,71464,63778,55017,63224,NA,NA,NA,17,72,179,410,996,5465,NA,NA,NA,NA,3,NA,NA,344,333,266,323,294,237,186,198,NA,NA,1,4,3,1,10,15,NA,NA,NA,0,NA,NA
"1:29","1:28","2021-09-07",35203,41731,59157,76656,71170,63541,54831,63026,NA,NA,NA,16,68,176,409,986,5450,NA,NA,NA,NA,3,NA,NA,152,49,61,83,68,68,43,59,NA,NA,1,1,2,4,5,25,NA,NA,NA,0,NA,NA
"1:30","1:29","2021-09-06",35051,41682,59096,76573,71102,63473,54788,62967,NA,NA,NA,15,67,174,405,981,5425,NA,NA,NA,NA,3,NA,NA,33,143,112,154,153,120,108,114,NA,NA,0,0,0,1,4,8,NA,NA,NA,0,NA,NA
"1:31","1:30","2021-09-05",35018,41539,58984,76419,70949,63353,54680,62853,NA,NA,NA,15,67,174,404,977,5417,NA,NA,NA,NA,3,NA,NA,298,105,105,147,133,96,96,92,NA,NA,0,0,1,3,3,12,NA,NA,NA,0,NA,NA
