"","county_nam","mydate","deaths","fhwa_numbe","fips","positive","negative","recoveries","total_tests","active_cases","pop_5yr_est_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"6304","Sevier",2020-07-12,0,0,0,0,0,0,0,0,0,807,0,3695,0,710,0,9,0,88,0,4502,0,0,0,0,0,0,0,7,8,0,45,4.693770721,21.4913046,6.979584715,51.18362124,17.9253665,15.55555556,719,1.251738526,98.74826147,0,0
"6305","Sharp",2020-07-12,0,0,0,0,0,0,0,0,0,68,0,1236,0,51,0,5,0,12,0,1304,0,0,0,0,0,0,0,4,1,0,23,0.398990788,7.651235111,1.760253477,7.041013906,5.214723926,17.39130435,56,8.928571429,91.07142857,0,0
"6306","St.Francis",2020-07-12,0,0,0,0,0,0,0,0,0,906,0,4548,0,874,0,3,0,29,0,5454,0,0,0,0,0,0,0,3,3,0,98,3.445653001,20.74237469,1.521259603,11.02913212,16.61166117,3.06122449,877,0.342075257,99.65792474,0,0
"6307","Stone",2020-07-12,0,0,0,0,0,0,0,0,0,22,0,1314,0,14,0,1,0,7,0,1336,0,0,0,0,0,0,0,0,0,0,12,0.176763619,10.73437249,0,5.624296963,1.646706587,0,15,6.666666667,93.33333333,0,0
"6308","Union",2020-07-12,0,0,0,0,0,0,0,0,0,274,0,3288,0,226,0,14,0,34,0,3562,0,0,0,0,0,0,0,1,1,0,25,0.689620457,8.965065942,0.503372596,8.557334139,7.692307692,4,240,5.833333333,94.16666667,0,0
"6309","VanBuren",2020-07-12,0,0,0,0,0,0,0,0,0,35,0,1191,0,31,0,2,0,2,0,1226,0,0,0,0,0,0,0,0,0,0,24,0.209781827,7.348357708,0,1.198753297,2.854812398,0,33,6.060606061,93.93939394,0,0
"6310","Washington",2020-07-12,0,0,0,0,0,0,0,0,0,4526,0,15619,0,3756,0,36,0,734,0,20145,0,0,0,0,0,0,0,70,73,0,234,1.980492629,8.815073798,1.881599272,32.11846199,22.46711343,29.91452991,3792,0.949367089,99.05063291,0,0
"6311","White",2020-07-12,0,0,0,0,0,0,0,0,0,141,0,4473,0,96,0,2,0,43,0,4614,0,0,0,0,0,0,0,13,3,0,72,0.178924928,5.855032739,1.015176895,5.456575808,3.055916775,18.05555556,98,2.040816327,97.95918367,0,0
"6312","Woodruff",2020-07-12,0,0,0,0,0,0,0,0,0,12,0,771,0,7,0,0,0,5,0,783,0,0,0,0,0,0,0,0,1,0,13,0.18018018,11.75675676,3.003003003,7.507507508,1.53256705,0,7,0,100,0,0
"6313","Yell",2020-07-12,0,0,0,0,0,0,0,0,0,832,0,2484,0,631,0,5,0,196,0,3316,0,0,0,0,0,0,0,4,9,0,13,3.824056625,15.24107184,7.353955049,90.08594935,25.09047045,30.76923077,636,0.786163522,99.21383648,0,0
