"","County","Date","Positive","Negative","Recovered","Total_Deaths","Number_Tested","Current_Infections","Population","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths"
"1730","Johnson",2020-08-26,745,5405,695,4,6150,46,26291,3,0,1,50,2.83366931649614,23.39203529725,1.14107489254878,17.496481685748,12.1138211382114,6,699,0.572246065808298,99.4277539341917
"1731","Lafayette",2020-08-26,66,771,61,2,837,3,6915,1,2,0,2,0.954446854663774,12.1041214750542,1.44613159797542,4.33839479392625,7.88530465949821,50,63,3.17460317460317,96.8253968253968
"1732","Lawrence",2020-08-26,244,2424,220,10,2668,14,16669,-1,2,0,20,1.46379506869038,16.0057591937129,-0.599916011758354,8.39882416461695,9.14542728635682,-5,230,4.34782608695652,95.6521739130435
"1733","Lee",2020-08-26,996,3209,965,10,4205,21,9398,3,1,0,11,10.5979995743775,44.7435624600979,3.19216854649926,22.3451798254948,23.6860879904875,27.2727272727273,975,1.02564102564103,98.974358974359
"1734","Lincoln",2020-08-26,1398,4938,1236,13,6336,149,13695,14,9,0,32,10.2081051478642,46.2650602409639,10.2227090178897,108.798831690398,22.0643939393939,43.75,1249,1.04083266613291,98.9591673338671
"1735","Little River",2020-08-26,271,1409,222,14,1680,35,12417,6,7,1,11,2.18249174518805,13.529838125151,4.83208504469679,28.1871627607313,16.1309523809524,54.5454545454545,236,5.93220338983051,94.0677966101695
"1736","Logan",2020-08-26,355,5089,323,1,5444,31,21757,4,27,0,36,1.63165877648573,25.0218320540516,1.83848876223744,14.2482879073402,6.52094048493755,11.1111111111111,324,0.308641975308642,99.6913580246914
"1737","Lonoke",2020-08-26,674,11837,575,3,12511,96,72206,13,16,1,95,0.933440434312938,17.3268149461264,1.80040439852644,13.2952940198875,5.38725921189353,13.6842105263158,578,0.519031141868512,99.4809688581315
"1738","Madison",2020-08-26,287,3028,281,2,3315,4,16078,0,2,0,4,1.7850478915288,18.8331882074885,0,2.48787162582411,8.65761689291101,0,283,0.706713780918728,99.2932862190813
"1739","Marion",2020-08-26,43,1558,33,0,1601,10,16438,2,0,0,5,0.261589001095024,9.4780386908383,1.21669302834895,6.08346514174474,2.68582136164897,40,33,0,100
"1740","Miller",2020-08-26,584,4720,537,5,5304,42,43759,6,5,0,33,1.33458260015083,10.786352521767,1.37114650700427,9.59802554902991,11.0105580693816,18.1818181818182,542,0.922509225092251,99.0774907749077
"1741","Missing County",2020-08-26,794,16216,612,0,17010,182,NA,-26,-10,0,166,NA,NA,NA,NA,4.66784244562022,-15.6626506024096,612,0,100
"1742","Mississippi",2020-08-26,1292,8985,1143,20,10277,129,42831,15,24,2,56,3.01650673577549,20.9777964558381,3.50213630314492,30.1183722070463,12.5717621874088,26.7857142857143,1163,1.71969045571797,98.280309544282
"1743","Monroe",2020-08-26,91,1708,74,0,1799,17,7249,1,0,0,31,1.2553455649055,23.5618706028418,1.37950062077528,23.4515105531797,5.05836575875486,3.2258064516129,74,0,100
