"","V1","date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct"
"1:57",57,"2021-05-18","Hot Spring",17242,9373,7863,6,1371,8002,14448,26.4,1787,23.7,38,69,8,8,573,319,405,5,19.6,29427,31.9,26.7,4,5.1,2.4,0,2.5
"1:58",58,"2021-05-18","St. Francis",10926,6455,4466,5,986,5469,5373,26.1,4800,22.6,5,76,1.1,6,540,126,196,3,6.7,21496,30,20.8,4.4,3.7,1.1,1,1.8
"1:59",59,"2021-05-18","Crittenden",17383,11094,6289,0,2838,8256,7869,20.4,7459,16.9,26,118,9,19,1651,241,345,8,15.8,39319,28.2,16,6.4,6.5,4.8,1,2.8
"1:60",60,"2021-05-18","Cross",9642,5465,4171,6,931,4534,6954,31.6,1974,28.6,9,85,9.4,4,510,106,135,9,22.7,13912,39.3,30,5.4,7,0,0,1.7
"1:61",61,"2021-05-18","Woodruff",4225,2285,1937,3,316,1969,2895,34.5,944,30.2,1,6,0,4,323,52,45,3,23.3,5426,42.1,35.7,5.3,5.3,3.6,0,10
"1:62",62,"2021-05-18","White",41850,22845,18987,18,3458,19387,35711,26.5,1407,20,79,300,7.6,20,1992,2341,1112,7,17.6,67007,34.1,28.3,4.5,4.1,0,1,1.2
"1:63",63,"2021-05-18","Faulkner",77270,42570,34697,3,6476,36094,61566,31.7,6848,24,134,983,7.3,88,5165,2486,1732,7,19.1,107247,39.7,32.4,5,5.6,1.9,1,2
"1:64",64,"2021-05-18","Conway",13600,7514,6086,0,957,6557,10735,33.7,1509,34.7,30,73,9.5,9,1019,225,453,9,32.6,17726,42.4,34.3,4.5,4.7,2,2,4.4
"1:65",65,"2021-05-18","Newton",3112,1803,1305,4,468,1335,2661,17.7,5,1.6,5,3,2.2,3,402,33,106,12,38,6827,26.4,19.1,5.1,4.9,1.1,3,3.2
"1:66",66,"2021-05-18","Pope",33839,19496,14343,0,2770,16726,27711,26.7,729,19,94,296,5.9,19,3032,1958,2070,5,23.6,54387,35.8,26.4,4,3.4,3.5,0,1.4
"1:67",67,"2021-05-18","Johnson",12059,6913,5146,0,1032,5881,9772,22.8,228,21,32,188,4.8,20,1147,672,1303,5,23.6,22287,31,23.1,3.5,3.2,1.9,0,2.5
"1:68",68,"2021-05-18","Van Buren",8899,4829,4070,0,647,4182,8207,27.3,54,20,27,21,8.1,3,502,85,162,6,16.8,14547,33.2,28,3.9,4,2,2,1.5
"1:69",69,"2021-05-18","Cleburne",13583,7501,6079,3,1112,6389,11929,26.3,42,13.9,24,53,7.3,0,1393,142,160,3,16.6,21965,34.1,27.7,4.1,2.1,0,0,0
"1:70",70,"2021-05-18","Poinsett",11503,6585,4909,9,1489,5096,10167,25.1,647,17.5,13,42,7.8,2,505,127,218,4,18.2,19810,33.2,24.8,7.1,5.9,0,0,1.2
"1:71",71,"2021-05-18","Craighead",58530,33692,24809,29,7716,25976,48382,28.5,4259,13.1,94,1158,7.7,47,3290,1300,1615,9,15.2,91830,36.7,27,8.1,4.6,2.5,1,1.4
"1:72",72,"2021-05-18","Sharp",7864,4535,3325,4,1146,3389,7223,21.2,18,4.5,16,29,5.1,1,531,46,115,3,14.7,15166,29.9,21.9,7.2,1.1,0,1,0
"1:73",73,"2021-05-18","Izard",5783,3245,2535,3,629,2616,5314,20.7,22,2.6,7,17,4.9,0,348,75,47,2,7.2,12084,26.9,21,5,1.9,0,0,0
"1:74",74,"2021-05-18","Fulton",4248,2362,1886,0,428,1934,3834,16.6,9,3.5,6,6,3.4,0,362,31,48,1,13.1,10804,21.9,17.5,3.4,0.9,0,0,0
"1:75",75,"2021-05-18","Stone",6266,3358,2908,0,389,2969,5686,25.3,23,15.7,17,7,6.3,0,450,83,46,3,11.7,10998,30.5,26.4,2.9,1.4,2.7,0,0
"1:76",76,"2021-05-18","Boone",17118,9652,7460,6,1976,7676,15143,22,56,13.4,24,95,2.9,5,1502,293,1049,14,61.7,31850,30.3,23.4,5.4,3.1,1.9,0,1.2
"1:77",77,"2021-05-18","Out of State",29047,18191,10856,0,5196,12995,17079,0,2328,0,213,861,0,50,7236,1280,1784,0,0,0,0,0,0,0,0,0,0
"2:1",1,"2021-05-17","Missing",264691,168617,96004,70,66343,102274,176057,0,31675,0,944,5742,0,670,35969,13634,16372,0,0,0,0,0,0,0,0,0,0
"2:2",2,"2021-05-17","Howard",7080,3986,3094,0,502,3484,4848,28.3,1258,28.5,33,35,12.4,5,519,382,332,3,13.6,10888,36.7,28.5,3.5,3.5,1.4,2,2.3
"2:3",3,"2021-05-17","Pulaski",245944,137738,108193,13,22358,115380,149290,35.8,57242,22,779,6205,21.2,184,18830,13414,9510,6,26.1,330989,41.6,32.7,5.7,4.3,6.1,0,1
"2:4",4,"2021-05-17","Lonoke",37925,21175,16744,6,3433,17742,30860,26,2107,25.4,68,359,6.2,25,3417,1089,1158,6,21.2,61242,34.6,27.3,4.4,4.1,1.4,0,1.6
"2:5",5,"2021-05-17","Prairie",3634,2200,1428,6,615,1585,2935,21,403,21.8,8,11,10.7,1,212,64,88,11,37.5,6949,31.4,20.6,7.4,7.9,0,6,0
"2:6",6,"2021-05-17","Desha",7303,4196,3101,6,805,3391,3960,37.5,2735,28,13,58,20,0,275,262,341,12,26.7,9520,44.2,32.3,8.1,7.2,0,0,0
"2:7",7,"2021-05-17","Phillips",9237,5206,4031,0,831,4375,3742,32.3,4778,24.7,7,26,4.5,4,443,237,202,6,37.5,14714,35.4,27.3,4.5,5.3,1.5,0,2.7
"2:8",8,"2021-05-17","Searcy",3731,2004,1727,0,246,1758,3217,22.8,8,8.3,4,2,1.7,1,460,39,64,3,15.6,6887,29.1,25,2.8,0,0,0,0
"2:9",9,"2021-05-17","Independence",15546,8792,6748,6,1662,7130,14252,21.7,211,11.1,30,217,5.7,7,423,406,544,4,14.1,31722,27.8,21.3,4.9,3.7,0,0,0.8
"2:10",10,"2021-05-17","Jackson",8190,4506,3681,3,744,3762,6704,26.3,926,16.9,14,16,5.4,9,365,156,168,6,18.7,14500,31,25.4,5,3.1,3.6,0,3.8
"2:11",11,"2021-05-17","Mississippi",17510,10002,7505,3,1914,8088,11018,23.9,4303,16.7,17,83,5.2,14,1749,326,479,5,16.4,33683,29.7,22.3,4.6,4.8,1.9,1,3.3
"2:12",12,"2021-05-17","Greene",23455,12998,10451,6,2298,10700,21091,26.1,156,8.9,21,95,3.6,12,1414,666,360,7,15.1,38118,34.1,27.4,5.4,6.7,1.6,2,1.1
"2:13",13,"2021-05-17","Clay",8372,4555,3811,6,601,3954,7382,28.6,38,12.1,2,9,0,0,720,221,52,5,7.6,12543,36.2,30.4,3.7,5.6,2.8,0,0
"2:14",14,"2021-05-17","Randolph",6706,4022,2684,0,1118,2904,6196,18.4,62,12.1,10,29,3,55,208,146,130,10,18.6,15146,26.6,17.7,7.1,6.3,3,6,7.7
"2:15",15,"2021-05-17","Lawrence",8646,4866,3771,9,999,3867,8149,26.8,68,16,6,26,1.1,3,337,57,116,9,23.1,14051,34.6,26.9,6.5,3.5,0,2,2.1
"2:16",16,"2021-05-17","Baxter",22628,12518,10107,3,2090,10428,19317,24.6,55,10,49,125,7.3,13,2728,341,487,8,25.4,37221,33.6,27.2,4.4,3.2,1.6,2,1.9
"2:17",17,"2021-05-17","Marion",6618,3754,2864,0,594,3160,5598,18.7,11,4.7,14,11,3.7,4,888,92,168,3,27.1,14723,25.6,19.5,3.4,0.9,1.9,2,1.3
"2:18",18,"2021-05-17","Perry",6409,3508,2898,3,476,3032,5732,32,106,25,8,13,3.8,0,451,99,93,4,18.2,8917,39.3,32.7,4.3,1.9,0,2,0
"2:19",19,"2021-05-17","Jefferson",30698,18812,11886,0,6077,12735,14532,25.7,14024,17.7,95,374,8.9,19,947,707,509,10,19.3,57304,32.9,20.8,10.9,9.1,19,1,1.2
"2:20",20,"2021-05-17","Washington",139167,82219,56942,6,18179,64040,108136,27.7,3138,18.4,872,3227,11.1,1600,11239,10955,18249,11,25,200760,41,28.4,7.5,5.4,3.9,3,6.8
"2:21",21,"2021-05-17","Crawford",26650,15222,11422,6,2506,12716,22171,21.3,277,12.5,109,366,3.7,4,2766,957,1034,4,11.9,53333,28.5,21.4,3.9,2.7,0.6,0,0.1
"2:22",22,"2021-05-17","Little River",4174,2329,1845,0,319,2010,2816,16.4,733,16.7,13,95,4.4,2,463,52,220,4,31.5,10486,22.2,17.5,2.7,2.6,0,0,1.8
"2:23",23,"2021-05-17","Miller",6179,3494,2685,0,675,2819,3557,6.1,1209,6,5,44,1,6,979,379,313,3,12.3,36531,9.6,7.4,1.2,1.5,0.6,0,1.2
"2:24",24,"2021-05-17","Lafayette",2598,1413,1185,0,187,1226,1488,19,998,22.5,5,21,5.9,0,69,17,30,2,10.1,5854,24.2,20.2,2.8,3.5,2.9,0,0
"2:25",25,"2021-05-17","Columbia",11504,6596,4905,3,1454,5142,6929,24.6,3488,22,15,124,5.6,3,563,382,398,13,34.2,20211,32.6,24.3,6.1,5.7,1.6,0,0.5
"2:26",26,"2021-05-17","Union",15424,8936,6488,0,1799,7137,9385,20.4,4107,17.8,28,88,6.9,4,866,946,604,7,23.2,32555,27.5,19.9,4.2,5.2,2.1,0,0.8
"2:27",27,"2021-05-17","Ashley",10760,5943,4814,3,949,4994,7254,27.2,2746,31,7,25,2.2,2,311,415,617,12,30.6,16780,35.4,28.7,4.3,6.3,0.7,0,3.2
"2:28",28,"2021-05-17","Chicot",5930,3357,2555,18,496,2861,2430,29,2732,28.9,8,36,8.2,0,456,268,310,10,31.4,8680,38.7,29.4,5.4,4.7,2,0,0
"2:29",29,"2021-05-17","Benton",160049,93304,66739,6,20690,72614,122935,26.6,2170,19.6,755,8105,7,432,9660,15992,21981,11,26.5,231247,40.3,28.8,7.1,5.9,2.7,1,1.8
"2:30",30,"2021-05-17","Carroll",14107,8243,5858,6,1327,6916,11211,23.4,37,6.7,41,115,6.6,69,1602,1032,1128,4,19.1,24422,33.7,24,4.1,2.8,1.7,1,6.4
"2:31",31,"2021-05-17","Madison",7496,4334,3159,3,864,3470,6399,22.1,18,5.9,38,43,6,18,640,340,482,8,28.8,14093,30.7,22.4,5,1.3,2.6,1,5.8
"2:32",32,"2021-05-17","Sebastian",46220,27284,18935,1,5521,21763,34891,18.1,2092,12.1,227,1884,3.3,31,4207,2888,3336,5,10.7,107538,25.4,17.6,4,4.3,1.4,0,0.3
"2:33",33,"2021-05-17","Polk",7715,4518,3196,1,835,3683,6678,19.3,29,11.5,36,56,4.3,3,654,259,412,4,19.8,17073,26.4,18.7,4.2,2.5,0.5,1,1.7
"2:34",34,"2021-05-17","Sevier",7902,4326,3576,0,505,3821,5055,19.8,318,26.3,39,28,2.9,24,1244,1194,1760,3,19.7,13767,31.4,26.1,2.2,2.4,1.6,3,4.8
"2:35",35,"2021-05-17","Garland",59375,33479,25890,6,7078,26401,50586,29.3,2905,17.4,128,531,6.7,39,2754,2432,2332,11,21.6,86444,38.8,29.9,7.4,4.4,2,1,2.1
"2:36",36,"2021-05-17","Saline",68655,38074,30556,25,5946,32128,55047,27.7,5263,29.1,115,879,7.3,72,4978,2301,2072,6,21,104254,36.5,29.2,4.5,5.6,2.6,0,2.2
"2:37",37,"2021-05-17","Franklin",10044,5526,4518,0,714,4812,9077,29.9,49,9.7,37,106,7.2,3,609,163,148,4,14.8,15200,36.3,29.7,4.1,5.1,0.4,0,1
"2:38",38,"2021-05-17","Scott",4008,2406,1602,0,404,2002,3363,20.6,19,6.5,16,76,5.7,3,399,132,157,3,13.3,8746,27.5,18.4,3.6,10.8,0,0,0.4
"2:39",39,"2021-05-17","Logan",11098,6125,4970,3,853,5272,9883,26.8,135,16.5,45,142,10,2,685,206,298,8,26.4,18547,33,26.7,4,7.1,0.9,0,0.2
"2:40",40,"2021-05-17","Yell",10473,6025,4448,0,891,5134,8703,24.7,153,17.5,43,90,9.5,2,641,841,1200,6,18.3,18012,33.5,24.8,3.5,2.9,3.3,0,0.4
"2:41",41,"2021-05-17","Montgomery",4005,2345,1660,0,248,2097,3579,25,10,6.5,4,18,2.5,0,316,78,62,2,8.3,7929,29.5,20.9,2.5,0,0,0,0
"2:42",42,"2021-05-17","Pike",4311,2407,1901,3,450,1957,3703,19.8,127,14.8,4,24,1.6,0,299,154,151,6,11.4,9246,26.1,20.5,3.7,7.6,0.8,0,0
"2:43",43,"2021-05-17","Hempstead",7174,4194,2962,18,894,3300,4023,15.1,1909,16.1,34,51,14.6,7,657,493,627,5,14.3,17816,23.6,16.5,3.9,4.5,0.8,1,2.2
"2:44",44,"2021-05-17","Drew",10601,5888,4713,0,882,5006,6915,29.8,2687,29.3,12,71,7.8,19,489,408,310,10,26.4,15607,37.8,30.3,4.7,4.6,1.3,0,8
"2:45",45,"2021-05-17","Bradley",6689,4034,2655,0,729,3305,4259,32.8,1726,35.1,11,30,4.7,7,189,467,524,8,20.1,9068,44.4,29.3,6.4,7.6,0,0,9.3
"2:46",46,"2021-05-17","Calhoun",2170,1154,1016,0,127,1027,1551,20.9,427,19.9,0,6,0,0,165,21,20,0,6.1,4546,25.5,22.2,2.5,2.8,0,0,0
"2:47",47,"2021-05-17","Ouachita",14116,7708,6402,6,1025,6683,7922,32.1,5044,29.7,6,59,1,14,812,259,228,7,24,20023,38.5,31.9,4.2,4.8,4.9,0,6.5
"2:48",48,"2021-05-17","Nevada",3271,1968,1197,106,519,1449,2130,19.5,868,17.3,4,23,6.1,0,193,53,77,3,14.3,7050,28,17,6.3,7.6,3,0,0
"2:49",49,"2021-05-17","Clark",13470,7340,6130,0,1015,6325,9826,32.1,2787,27.6,21,112,7.4,4,439,281,534,7,29.2,19472,37.7,31.6,4.7,4.4,1.6,2,0
"2:50",50,"2021-05-17","Dallas",4833,2587,2246,0,299,2288,2708,36.7,1813,34.8,3,20,0,0,239,50,77,7,15.8,6069,42.6,37,3.9,4.2,12.2,0,0
"2:51",51,"2021-05-17","Cleveland",5002,2743,2259,0,349,2394,4237,33.5,567,33.8,3,4,2.8,1,119,71,55,3,18.7,6927,39.6,32.6,4.7,4.6,2.8,0,5
"2:52",52,"2021-05-17","Lincoln",5065,2839,2223,3,403,2436,3827,23.5,982,12.1,8,18,8.9,1,88,141,179,3,20.5,11689,24.3,19,3.4,3,0,2,0
"2:53",53,"2021-05-17","Arkansas",11381,6432,4949,0,985,5447,8533,37.3,1813,23.8,10,69,7.5,1,593,362,287,5,34.1,14786,43.4,33.6,6.1,4.6,1.9,0,0.8
"2:54",54,"2021-05-17","Grant",9513,5275,4238,0,887,4388,8824,27.1,239,23.9,6,40,6,6,265,133,167,6,17.8,15720,33.7,27.1,5.3,5.7,0,0,3.5
"2:55",55,"2021-05-17","Monroe",4278,2462,1816,0,488,1974,2514,34,1439,29.1,2,9,8.1,1,201,112,112,12,45.5,5758,42.7,31.4,7.9,7.1,0,2,0
"2:56",56,"2021-05-17","Lee",3673,2123,1548,2,359,1764,1570,21.4,1736,20,5,11,4.3,0,302,49,66,1,21.2,7777,27.2,19.9,3.2,4.6,4.3,0,0
"2:57",57,"2021-05-17","Hot Spring",17137,9327,7804,6,1385,7942,14350,26.1,1768,23.4,39,72,8.5,8,582,318,395,5,18.6,29427,31.7,26.4,4.2,5,1.4,0,3.1
