"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"41","Arkansas_all_counties",2020-08-07,3017804,1.59185288375256,3.35011816539444,23.719234251131,7158,48039,1011,40360,805,521,6,40881,1.27443066461192,98.7255693353881,523,9,3223,55,46,7.30651019837944,116,435,6,22.1797323135755
"42","Arkansas_all_counties",2020-08-06,3017804,1.55835170209861,2.43554584724522,23.0565006872547,6958,47028,735,39555,707,515,7,40070,1.28525081108061,98.7147491889194,514,-2,3168,50,52,7.38718022420236,111,429,5,21.5953307392996
"43","Arkansas_all_counties",2020-08-05,3017804,1.53399624362616,3.0220650512757,22.9869136630477,6937,46293,912,38848,848,508,18,39356,1.29078158349426,98.7092184165057,516,-10,3118,64,74,7.43837393686031,106,424,10,20.5426356589147
"44","Arkansas_all_counties",2020-08-04,3017804,1.5037755931134,2.5979155703949,22.8344849433562,6891,45381,784,38000,760,490,15,38490,1.27305793712653,98.7269420628735,526,13,3054,88,75,7.63314468146858,101,414,11,19.2015209125475
"45","Arkansas_all_counties",2020-08-03,3017804,1.47779643740945,2.60785657385304,22.8046619329817,6882,44597,787,37240,664,475,11,37715,1.25944584382872,98.7405541561713,513,-2,2966,57,59,7.45422842197036,108,403,6,21.0526315789474
"46","Arkansas_all_counties",2020-08-02,3017804,1.45171787167092,2.11080640094585,22.433531137211,6770,43810,637,36576,542,464,6,37040,1.25269978401728,98.7473002159827,515,16,2909,15,-1,7.60709010339734,106,397,0,20.5825242718447
"47","Arkansas_all_counties",2020-08-01,3017804,1.43060980766147,2.19364809643038,22.1386147012861,6681,43173,662,36034,621,458,5,36492,1.25506960429683,98.7449303957032,499,-8,2894,42,50,7.46894177518336,104,397,2,20.8416833667335
"48","Arkansas_all_counties",2020-07-31,3017804,1.40867332669716,2.4918782001747,22.0193226597884,6645,42511,752,35413,676,453,11,35866,1.26303462889645,98.7369653711036,507,3,2852,47,44,7.62979683972912,100,395,3,19.723865877712
"49","Arkansas_all_counties",2020-07-30,3017804,1.38375454469541,2.62111124513057,21.8039342515286,6580,41759,791,34737,799,442,8,35179,1.25643139372921,98.7435686062708,504,-4,2805,58,62,7.65957446808511,101,392,5,20.0396825396825
"50","Arkansas_all_counties",2020-07-29,3017804,1.35754343224411,2.60785657385304,21.8569529366387,6596,40968,787,33938,750,434,6,34372,1.26265564994763,98.7373443500524,508,7,2747,61,54,7.70163735597332,108,387,10,21.259842519685
"51","Arkansas_all_counties",2020-07-28,3017804,1.33146486650558,2.43223217942583,21.7542292342379,6565,40181,734,33188,823,428,20,33616,1.27320323655402,98.726796763446,501,12,2686,62,50,7.63137852246763,110,377,8,21.9560878243513
"52","Arkansas_all_counties",2020-07-27,3017804,1.30714254471132,2.73046228317015,22.1154190265504,6674,39447,824,32365,743,408,7,32773,1.2449272266805,98.7550727733195,489,9,2624,43,34,7.32694036559784,110,369,9,22.4948875255624
