"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent","Negative","Number_Tested","New_Tests_Dashboard","Tested_Population","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard"
"34","Arkansas_all_counties",2020-08-10,3017804,1.65776173668005,2.1373157435009,24.3322627977165,7343,50028,645,42130,678,555,11,42685,1.30022256061848,98.6997774393815,508,-6,3336,48,54,6.91815334332017,117,443,5,23.0314960629921,519292,569320,5489,18.8653736293013,8.78732523009907,11.7507742758244
"35","Arkansas_all_counties",2020-08-09,3017804,1.63638857924504,1.89541799268607,24.4780641817693,7387,49383,572,41452,475,544,9,41996,1.29536146299648,98.7046385370035,514,17,3288,4,-13,6.95816975768242,115,438,1,22.3735408560311,514448,563831,5757,18.6834864026955,8.7584755006376,9.93573041514678
"36","Arkansas_all_counties",2020-08-08,3017804,1.61743439931818,2.55815155656232,24.1864614136637,7299,48811,772,40977,617,535,14,41512,1.2887839660821,98.7112160339179,497,-26,3284,61,87,6.80915193862173,117,437,2,23.5412474849095,509263,558074,6551,18.4927185463337,8.74633113171372,11.7844603877271
"37","Arkansas_all_counties",2020-08-07,3017804,1.59185288375256,3.35011816539444,23.719234251131,7158,48039,1011,40360,805,521,6,40881,1.27443066461192,98.7255693353881,523,9,3223,55,46,7.30651019837944,116,435,6,22.1797323135755,503484,551523,7160,18.275640167486,8.71024417839329,14.1201117318436
"38","Arkansas_all_counties",2020-08-06,3017804,1.55835170209861,2.43554584724522,23.0565006872547,6958,47028,735,39555,707,515,7,40070,1.28525081108061,98.7147491889194,514,-2,3168,50,52,7.38718022420236,111,429,5,21.5953307392996,497335,544363,5262,18.0383815516183,8.63908825544719,13.9680729760547
"39","Arkansas_all_counties",2020-08-05,3017804,1.53399624362616,3.0220650512757,22.9869136630477,6937,46293,912,38848,848,508,18,39356,1.29078158349426,98.7092184165057,516,-10,3118,64,74,7.43837393686031,106,424,10,20.5426356589147,492808,539101,5202,17.8640163509625,8.58707366523156,17.5317185697809
"40","Arkansas_all_counties",2020-08-04,3017804,1.5037755931134,2.5979155703949,22.8344849433562,6891,45381,784,38000,760,490,15,38490,1.27305793712653,98.7269420628735,526,13,3054,88,75,7.63314468146858,101,414,11,19.2015209125475,488518,533899,6499,17.6916393509983,8.49992226994244,12.0633943683644
"41","Arkansas_all_counties",2020-08-03,3017804,1.47779643740945,2.60785657385304,22.8046619329817,6882,44597,787,37240,664,475,11,37715,1.25944584382872,98.7405541561713,513,-2,2966,57,59,7.45422842197036,108,403,6,21.0526315789474,482803,527400,7659,17.4762840794167,8.45601061812666,10.2754928841885
"42","Arkansas_all_counties",2020-08-02,3017804,1.45171787167092,2.11080640094585,22.433531137211,6770,43810,637,36576,542,464,6,37040,1.25269978401728,98.7473002159827,515,16,2909,15,-1,7.60709010339734,106,397,0,20.5825242718447,475931,519741,5160,17.2224902611303,8.4291983891977,12.3449612403101
"43","Arkansas_all_counties",2020-08-01,3017804,1.43060980766147,2.19364809643038,22.1386147012861,6681,43173,662,36034,621,458,5,36492,1.25506960429683,98.7449303957032,499,-8,2894,42,50,7.46894177518336,104,397,2,20.8416833667335,471408,514581,NA,17.0515050016502,8.389932780262,NA
