"","county_nam","fhwa_numbe","FIPS","positive","negative","pending","lab_prvt","lab_pub","Recoveries","deaths","total_tests","lcase_name","pos_range","neg_range","border_report","active_cases","POP_5YR_EST_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","Shape__Area","Shape__Length","mydate"
"63","Faulkner",45,45,2060,31456,0,27920,5596,1831,14,33529,"faulkner",2060,31456,"Not Applicable",215,"122416",2002,58,30828,628,1784,47,12,2,206,9,32830,699,2002,30828,71,628,2073,31456,1719292673.13306,220407.99062066,2020-09-15
"64","Conway",29,29,233,5273,0,4566,940,217,3,5506,"conway",233,5273,"Not Applicable",13,"20906",231,2,5203,70,215,2,3,0,13,0,5434,72,231,5203,2,70,233,5273,1466018646.01843,208726.833050194,2020-09-15
"65","Newton",101,101,182,1451,0,1231,402,121,16,1632,"newton",182,1451,"Not Applicable",45,"7848",179,3,1451,0,119,2,15,1,45,0,1630,2,179,1451,2,0,181,1451,2130867828.67175,197624.4003355,2020-09-15
"66","Pope",115,115,1959,18070,0,17319,2710,1856,24,20027,"pope",1959,18070,"Not Applicable",79,"63644",1951,8,17960,110,1849,7,23,1,79,0,19911,116,1951,17960,6,110,1957,18070,2147891752.79688,215833.141399886,2020-09-15
"67","Johnson",71,71,805,6333,0,4974,2164,784,5,7139,"johnson",805,6333,"Not Applicable",16,"26291",803,2,6310,23,782,2,5,0,16,0,7113,26,803,6310,3,23,806,6333,1767434801.76807,208086.242159146,2020-09-15
"68","Van Buren",141,141,159,3396,0,2998,557,135,2,3558,"van buren",159,3396,"Not Applicable",22,"16684",159,0,3345,51,135,0,2,0,22,0,3504,54,159,3345,3,51,162,3396,1873571941.61279,202862.182311102,2020-09-15
"69","Cleburne",23,23,299,5027,0,4863,463,268,7,5328,"cleburne",299,5027,"Not Applicable",24,"25230",289,10,4954,73,259,9,7,0,23,1,5243,85,289,4954,12,73,301,5027,1532699219.27148,160145.803854315,2020-09-15
"70","Poinsett",111,111,578,6550,0,5683,1445,512,7,7126,"poinsett",578,6550,"Not Applicable",59,"24054",571,7,6545,5,505,7,7,0,59,0,7116,10,571,6545,5,5,576,6550,1978621315.45654,195984.20857495,2020-09-15
"71","Craighead",31,31,2414,27748,0,26954,3208,2048,16,30169,"craighead",2414,27748,"https://bit.ly/2T74BCM",349,"105701",2375,39,27712,36,2022,26,16,0,336,13,30087,82,2375,27712,46,36,2421,27748,1846141670.6062,203046.971315213,2020-09-15
"72","Sharp",135,135,170,3202,0,2769,603,145,6,3372,"sharp",170,3202,"https://bit.ly/2T74BCM",19,"17043",169,1,3199,3,145,0,6,0,18,1,3368,4,169,3199,1,3,170,3202,1570672403.03687,220017.018631529,2020-09-15
