"","Date","County_Name","Total_Positives","Total_Deaths","New_Deaths_7_Day_Avg","New_Deaths_Today","Cases_Per_Death","Clean_New_Deaths_Today"
"83",2020-06-29,"Arkansas_all_counties",20257,265,5.4,1,76.4415094339623,1
"84",2020-06-30,"Arkansas_all_counties",20777,270,4.7,5,76.9518518518519,5
"85",2020-07-01,"Arkansas_all_counties",21197,277,5.3,7,76.5234657039711,7
"86",2020-07-02,"Arkansas_all_counties",22075,279,5.3,2,79.1218637992831,2
"87",2020-07-03,"Arkansas_all_counties",22622,281,4.6,2,80.5053380782918,2
"88",2020-07-04,"Arkansas_all_counties",23209,286,3.9,5,81.1503496503497,5
"89",2020-07-05,"Arkansas_all_counties",23814,287,3.3,1,82.9756097560976,1
"90",2020-07-06,"Arkansas_all_counties",24253,292,3.9,5,83.0582191780822,5
"91",2020-07-07,"Arkansas_all_counties",24512,301,4.4,9,81.4352159468439,9
"92",2020-07-08,"Arkansas_all_counties",25246,305,4,4,82.7737704918033,4
"93",2020-07-09,"Arkansas_all_counties",26052,309,4.3,4,84.3106796116505,4
"94",2020-07-10,"Arkansas_all_counties",26803,313,4.6,4,85.6325878594249,4
"95",2020-07-11,"Arkansas_all_counties",27864,319,4.7,6,87.3479623824451,6
"96",2020-07-12,"Arkansas_all_counties",28367,321,4.9,2,88.3707165109034,2
"97",2020-07-13,"Arkansas_all_counties",28939,323,4.4,2,89.5944272445821,2
"98",2020-07-14,"Arkansas_all_counties",29733,331,4.3,8,89.8277945619335,8
"99",2020-07-15,"Arkansas_all_counties",30297,335,4.3,4,90.4388059701493,4
"100",2020-07-16,"Arkansas_all_counties",31114,341,4.6,6,91.2434017595308,6
"101",2020-07-17,"Arkansas_all_counties",31762,353,5.7,12,89.9773371104816,12
"102",2020-07-18,"Arkansas_all_counties",32533,357,5.4,4,91.1288515406163,4
"103",2020-07-19,"Arkansas_all_counties",33228,357,5.1,0,93.0756302521008,0
"104",2020-07-20,"Arkansas_all_counties",33927,363,5.7,6,93.4628099173554,6
"105",2020-07-21,"Arkansas_all_counties",34655,374,6.1,11,92.6604278074866,11
"106",2020-07-22,"Arkansas_all_counties",35246,380,6.4,6,92.7526315789474,6
"107",2020-07-23,"Arkansas_all_counties",36259,386,6.4,6,93.9352331606218,6
"108",2020-07-24,"Arkansas_all_counties",37249,394,5.9,8,94.5406091370558,8
"109",2020-07-25,"Arkansas_all_counties",37981,399,6,5,95.1904761904762,5
"110",2020-07-26,"Arkansas_all_counties",38623,401,6.3,2,96.3167082294264,2
"111",2020-07-27,"Arkansas_all_counties",39447,408,6.4,7,96.6838235294118,7
"112",2020-07-28,"Arkansas_all_counties",40181,428,7.7,20,93.8808411214953,20
"113",2020-07-29,"Arkansas_all_counties",40968,434,7.7,6,94.3963133640553,6
"114",2020-07-30,"Arkansas_all_counties",41759,442,8,8,94.4773755656109,8
"115",2020-07-31,"Arkansas_all_counties",42511,453,8.4,11,93.8432671081678,11
"116",2020-08-01,"Arkansas_all_counties",43173,458,8.4,5,94.264192139738,5
"117",2020-08-02,"Arkansas_all_counties",43810,464,9,6,94.4181034482759,6
"118",2020-08-03,"Arkansas_all_counties",44597,475,9.6,11,93.8884210526316,11
"119",2020-08-04,"Arkansas_all_counties",45381,490,8.9,15,92.6142857142857,15
"120",2020-08-05,"Arkansas_all_counties",46293,508,10.6,18,91.1279527559055,18
"121",2020-08-06,"Arkansas_all_counties",47028,515,10.4,7,91.3165048543689,7
"122",2020-08-07,"Arkansas_all_counties",48039,521,9.7,6,92.2053742802303,6
"123",2020-08-08,"Arkansas_all_counties",48811,535,11,14,91.2355140186916,14
"124",2020-08-09,"Arkansas_all_counties",49383,544,11.4,9,90.7775735294118,9
"125",2020-08-10,"Arkansas_all_counties",50028,555,11.4,11,90.1405405405405,11
"126",2020-08-11,"Arkansas_all_counties",50411,566,10.9,11,89.065371024735,11
"127",2020-08-12,"Arkansas_all_counties",51114,573,9.3,7,89.2041884816754,7
"128",2020-08-13,"Arkansas_all_counties",51766,582,9.6,9,88.9450171821306,9
"129",2020-08-14,"Arkansas_all_counties",52392,587,9.4,5,89.2538330494038,5
"130",2020-08-15,"Arkansas_all_counties",51992,600,9.3,13,86.6533333333333,13
"131",2020-08-16,"Arkansas_all_counties",52665,599,7.9,-1,87.9215358931553,-1
"132",2020-08-17,"Arkansas_all_counties",53077,603,6.9,4,88.0215588723051,4
