"","Date","County_Name","County_Vax_Total","Dose_1","Dose_2","Unk_Dose","Partial_Vax","Fully_Vax","White_Total","White_Full_Pct","Black_Total","Black_Full_Pct","Native_American_Total","Asian_Total","Asian_Full_Pct","Pacific_Islander_Total","Unk_Race_Total","Other_Race_Total","Hispanic_Total","Hispanic_Partial_Vax","Hispanic_Full_Vax","Population","County_Pct_Dose_1","County_Pct_Dose_2","White_Partial_Pct","Black_Partial_Pct","Asian_Partial_Pct","Non_Hispanic_Partial_Pct","Non_Hispanic_Full_Pct","Full_Pct","V1"
"1:38","2021-10-15","Scott",8403,4845,3464,0,761,4084,6904,41.3,39,19.4,46,155,12.3,5,714,540,482,11,36.3,8746,55.4,39.6,6.6,6.5,0.9,8,29.7,"46.7%",NA
"1:39","2021-10-15","Logan",18157,9911,8068,1,1229,8682,16059,43.8,227,30.1,77,283,17.2,8,1073,430,511,9,46.7,18547,53.4,43.5,5.9,7.4,2.3,3,31.8,"46.8%",NA
"1:40","2021-10-15","Yell",17862,10022,7710,4,1188,8834,13989,40.3,253,29.8,67,197,15.2,5,1442,1909,2768,7,42.2,18012,55.6,42.8,4.3,3.4,3.8,6,36.2,"49.0%",NA
"1:41","2021-10-15","Montgomery",5458,3199,2200,1,367,2832,4757,32.5,14,7.6,6,24,2.5,0,407,250,100,4,14.3,7929,40.3,27.7,3.7,2.2,0.8,6,8.2,"35.7%",NA
"1:42","2021-10-15","Pike",7254,3989,3204,4,627,3362,6036,32.5,223,29.4,9,30,4.1,5,534,417,459,11,38.3,9246,43.1,34.7,5.2,4.2,0,5,21.1,"36.4%",NA
"1:43","2021-10-15","Hempstead",13436,7771,5550,18,1632,6139,6868,26,4011,34,67,78,23.1,15,1040,1357,1474,11,32.8,17816,43.6,31.2,6.1,7.9,9.2,10,31.9,"34.5%",NA
"1:44","2021-10-15","Drew",16646,9052,7373,4,1268,7784,10434,44.3,4353,47,28,120,19.5,17,695,999,596,12,53.3,15607,58,47.2,6.6,7.4,0,13,53.1,"49.9%",NA
"1:45","2021-10-15","Bradley",10759,6186,4471,5,797,5389,6318,49.1,2809,56.5,26,48,8.8,12,360,1186,1214,10,47.8,9068,68.2,49.3,6.2,9,0.7,39,35.2,"59.4%",NA
"1:46","2021-10-15","Calhoun",3391,1816,1547,1,214,1602,2359,32,700,33.4,0,6,0,0,269,57,29,1,7.9,4546,39.9,34,3.7,4.1,0,0,23.1,"35.2%",NA
"1:47","2021-10-15","Ouachita",22888,12345,10343,3,1417,10928,11942,49.1,8901,52.4,26,122,9.8,15,1164,718,386,8,42.5,20023,61.7,51.7,5.2,7.2,5.9,8,60.7,"54.6%",NA
"1:48","2021-10-15","Nevada",6071,3607,2418,2,827,2780,3692,35.6,1695,34.9,9,53,12.1,1,417,204,179,8,31.3,7050,51.2,34.3,9.3,10.7,6.1,22,64.9,"39.4%",NA
"1:49","2021-10-15","Clark",20927,11086,9326,2,1421,9665,14522,46.6,4638,45.4,42,154,16.4,15,703,853,787,8,45.2,19472,56.9,47.9,6.1,6.2,0.8,5,51.9,"49.6%",NA
"1:50","2021-10-15","Dallas",7555,4022,3449,2,441,3581,3925,53.1,3181,60.8,8,23,7.3,0,286,132,138,3,32.7,6069,66.3,56.8,5.7,7.3,4.9,0,66.7,"59.0%",NA
"1:51","2021-10-15","Cleveland",7934,4277,3490,9,581,3696,6474,49.9,1043,61.1,10,14,11.1,6,242,145,97,7,30.7,6927,61.7,50.4,7.3,8.7,2.8,0,50,"53.4%",NA
"1:52","2021-10-15","Lincoln",8211,4578,3498,6,680,3898,5764,35.3,1826,22.6,9,25,5.4,4,208,375,326,5,35.1,11689,39.2,29.9,4.5,5.3,7.1,11,28.9,"33.3%",NA
"1:53","2021-10-15","Arkansas",18050,9950,7855,17,1360,8590,12709,55.7,3587,46.4,9,103,5.7,1,940,701,620,8,75.2,14786,67.3,53.1,7.2,8.4,5.7,3,40.2,"58.1%",NA
"1:54","2021-10-15","Grant",15256,8276,6650,8,1155,7121,14176,44,336,34.8,13,54,6,8,348,321,328,5,37.7,15720,52.6,42.3,6.8,5.7,2.4,8,31.4,"45.3%",NA
"1:55","2021-10-15","Monroe",6923,3842,2960,3,663,3179,3904,53.4,2474,50,8,10,10.8,5,316,206,220,19,83.6,5758,66.7,51.4,9.2,10,2.7,6,11.5,"55.2%",NA
"1:56","2021-10-15","Lee",5348,3070,2253,1,567,2503,2162,29,2624,29.4,4,21,4.3,11,398,128,126,11,33.5,7777,39.5,29,5.5,6.8,2.2,13,27.7,"32.2%",NA
"1:57","2021-10-15","Hot Spring",27645,14492,12412,9,1632,12860,22659,41.2,2959,40.3,68,96,16.5,11,813,1039,783,7,38.8,29427,49.2,42.2,5,5.1,0,3,31.3,"43.7%",NA
"1:58","2021-10-15","St. Francis",17669,10035,7535,2,1512,8523,8043,38.7,8158,36.1,21,98,4.8,11,907,431,415,4,15,21496,46.7,35.1,5.5,6,2.1,6,32.2,"39.6%",NA
"1:59","2021-10-15","Crittenden",32293,19132,12923,9,3753,15379,12635,33.4,15510,35.2,74,273,23.4,47,2363,1391,758,10,37.2,39319,48.7,32.9,7.1,9.2,9,8,48.6,"39.1%",NA
"1:60","2021-10-15","Cross",15798,8675,6949,5,1235,7440,10770,48.8,3631,53.4,14,128,12.5,9,927,319,358,16,62.9,13912,62.4,49.9,6.9,8.8,0,14,53.4,"53.5%",NA
"1:61","2021-10-15","Woodruff",6508,3471,2934,3,419,3052,4558,54.7,1416,45.1,4,14,7.1,24,371,121,128,4,86.7,5426,64,54.1,6.1,7.8,0,20,125,"56.2%",NA
"1:62","2021-10-15","White",63839,33538,28649,6,4010,29528,54324,40.3,2487,35.8,129,448,10.7,47,2976,3428,2228,9,37.5,67007,50.1,42.8,5.1,5.4,3.2,6,33.5,"44.1%",NA
"1:63","2021-10-15","Faulkner",117309,61796,52397,17,7184,54612,90980,46.4,12212,43.6,274,1374,14.8,124,6149,6196,3799,9,43.7,107247,57.6,48.9,5.6,6.5,3.2,5,40.5,"50.9%",NA
"1:64","2021-10-15","Conway",20253,10853,9066,2,1074,9779,15913,49.9,2353,54,63,99,20.3,12,1307,506,764,9,57.7,17726,61.2,51.1,5,5.6,2,4,59.3,"55.2%",NA
"1:65","2021-10-15","Newton",4785,2624,2057,2,483,2141,4008,27.3,4,0,13,12,6.6,5,611,132,177,14,65.3,6827,38.4,30.1,5.3,6.6,1.1,6,25.8,"31.4%",NA
"1:66","2021-10-15","Pope",54849,30427,23734,13,3089,27338,43879,42.7,1401,37.4,212,535,14.9,34,4195,4593,4153,8,45.6,54387,55.9,43.6,4.2,4,2.9,4,37.4,"50.3%",NA
"1:67","2021-10-15","Johnson",21343,12071,9088,3,1646,10425,16799,39.5,453,39.2,63,500,10.6,52,1936,1540,2699,8,47.1,22287,54.2,40.8,5,9.5,0.6,10,54.6,"46.8%",NA
