"","county_nam","Date","Deaths","Positive","active_cases","Cases_Population"
"2:382","Washington",2021-11-24,493,45518,411,19.92
"2:383","White",2021-11-24,206,13771,225,17.48
"2:384","Woodruff",2021-11-24,24,1137,12,17.07
"2:385","Yell",2021-11-24,81,4762,41,22.07
"2:386","Arkansas_all_counties",2021-11-23,8627,525130,6080,17.71
"2:387","Arkansas_county",2021-11-23,60,3528,13,19.47
"2:388","Ashley",2021-11-23,49,3219,9,15.67
"2:389","Baxter",2021-11-23,186,6085,91,14.76
"2:390","Benton",2021-11-23,626,43550,573,16.82
"2:391","Boone",2021-11-23,130,6399,91,17.16
"2:392","Bradley",2021-11-23,41,2002,9,18.29
"2:393","Calhoun",2021-11-23,8,601,5,11.55
"2:394","Carroll",2021-11-23,75,4374,39,15.68
"2:395","Chicot",2021-11-23,47,2033,5,18.78
"2:396","Clark",2021-11-23,61,3347,38,14.95
"2:397","Clay",2021-11-23,74,2786,43,18.5
"2:398","Cleburne",2021-11-23,94,3909,79,15.49
"2:399","Cleveland",2021-11-23,33,1436,4,17.46
"2:400","Columbia",2021-11-23,74,3409,9,14.27
"2:401","Conway",2021-11-23,46,3222,41,15.41
"2:402","Craighead",2021-11-23,248,22028,265,20.84
"2:403","Crawford",2021-11-23,179,10990,80,17.59
"2:404","Crittenden",2021-11-23,180,8966,82,18.29
"2:405","Cross",2021-11-23,66,3028,16,17.81
"2:406","Dallas",2021-11-23,19,1143,3,15.38
"2:407","Desha",2021-11-23,33,1936,14,16.29
"2:408","Drew",2021-11-23,55,2943,14,15.91
"2:409","Faulkner",2021-11-23,227,20133,334,16.45
"2:410","Franklin",2021-11-23,55,2794,35,15.71
"2:411","Fulton",2021-11-23,67,1852,78,15.26
"2:412","Garland",2021-11-23,399,16153,74,16.43
"2:413","Grant",2021-11-23,50,2902,14,16.05
"2:414","Greene",2021-11-23,124,10328,114,23.15
"2:415","Hempstead",2021-11-23,41,3003,23,13.64
"2:416","HotSpring",2021-11-23,107,7745,49,23.11
"2:417","Howard",2021-11-23,38,2515,28,18.78
"2:418","Independence",2021-11-23,160,6775,239,18.18
