"","County_Name","Date","Active_Cases_Total","Total_Positives","Total_Deaths","Pct_Positive_Cumulative","New_Cases_Today","Active_Cases_10k_Pop"
"11058","MissingCountyInfo",2021-01-22,390,3187,0,3.44,99,NA
"11059","Mississippi",2021-01-22,211,5014,103,13.95,22,41.09
"11060","Monroe",2021-01-22,91,653,14,10.03,13,89.67
"11061","Montgomery",2021-01-22,40,631,24,9.51,5,28.91
"11062","Nevada",2021-01-22,40,675,22,6.39,9,30.81
"11063","Newton",2021-01-22,31,629,26,10.47,6,29.31
"11064","Ouachita",2021-01-22,160,1825,42,11.25,26,60.98
"11065","Perry",2021-01-22,71,633,6,6.28,2,52.32
"11066","Phillips",2021-01-22,85,1521,30,9.35,11,37.83
"11067","Pike",2021-01-22,52,860,17,11.86,1,31.46
"11068","Poinsett",2021-01-22,181,2827,70,11.99,21,61.53
"11069","Polk",2021-01-22,110,1583,53,12.99,7,46.12
"11070","Pope",2021-01-22,499,6891,80,11.06,98,56.72
"11071","Prairie",2021-01-22,86,712,19,11.17,11,75.21
"11072","Pulaski",2021-01-22,2964,31628,476,9.19,281,61.94
"11073","Randolph",2021-01-22,90,1780,46,10.82,8,37.49
"11074","Saline",2021-01-22,757,9774,138,10.52,68,44.57
"11075","Scott",2021-01-22,76,821,14,8.39,6,39.26
"11076","Searcy",2021-01-22,39,590,14,10.45,4,16.41
"11077","Sebastian",2021-01-22,1112,12882,202,10.17,112,55.7
"11078","Sevier",2021-01-22,39,2299,24,15.55,10,14.54
"11079","Sharp",2021-01-22,85,1404,40,9.63,6,25.23
"11080","St.Francis",2021-01-22,202,3227,29,11.24,17,62.37
"11081","Stone",2021-01-22,51,888,27,9.19,1,16.07
"11082","Union",2021-01-22,221,3113,89,12.28,32,44.8
"11083","VanBuren",2021-01-22,100,1029,12,8.04,12,35.96
"11084","Washington",2021-01-22,1793,26552,270,12.36,166,54.04
"11085","White",2021-01-22,366,6172,82,13.21,50,29.31
"11086","Woodruff",2021-01-22,63,520,5,7.58,8,43.54
"11087","Yell",2021-01-22,168,2943,58,10.84,18,56.09
"11088","Arkansas_all_counties",2021-01-23,19919,282995,4563,10.61,1613,46.75
"11089","Arkansas_county",2021-01-23,166,1677,35,8.96,13,44.14
"11090","Ashley",2021-01-23,112,1572,27,11.17,7,44.31
"11091","Baxter",2021-01-23,128,2543,88,13.79,10,19.89
"11092","Benton",2021-01-23,1707,24042,321,12.85,160,45.68
"11093","Boone",2021-01-23,236,3155,74,10.77,26,34.6
"11094","Bradley",2021-01-23,87,1198,27,12.2,4,48.41
"11095","Calhoun",2021-01-23,40,314,2,8.98,7,55.75
"11096","Carroll",2021-01-23,146,2475,36,13.26,15,42.31
"11097","Chicot",2021-01-23,46,1533,37,11.4,5,33.25
"11098","Clark",2021-01-23,166,1739,31,7.8,14,62.99
"11099","Clay",2021-01-23,86,1530,40,9.68,5,39.84
"11100","Cleburne",2021-01-23,120,1686,50,8.76,16,23.38
"11101","Cleveland",2021-01-23,89,738,23,9.08,15,54.7
"11102","Columbia",2021-01-23,91,1853,48,10.25,10,18.42
"11103","Conway",2021-01-23,192,1883,23,9.91,12,75.1
"11104","Craighead",2021-01-23,612,11865,157,11.48,51,46.07
"11105","Crawford",2021-01-23,527,5905,83,9.96,43,62.27
"11106","Crittenden",2021-01-23,282,5217,79,13.89,24,52.23
"11107","Cross",2021-01-23,126,1778,41,11.67,16,52.36
"11108","Dallas",2021-01-23,85,645,12,10.07,2,86.11
"11109","Desha",2021-01-23,76,1132,16,10.86,14,36.17
"11110","Drew",2021-01-23,141,1772,29,10.61,11,57.29
"11111","Faulkner",2021-01-23,919,10100,124,9.44,67,47.54
"11112","Franklin",2021-01-23,115,1418,30,8.28,10,36
"11113","Fulton",2021-01-23,24,1016,41,15.27,3,10.71
"11114","Garland",2021-01-23,678,7898,193,9.6,69,55.65
"11115","Grant",2021-01-23,82,1327,27,9.6,8,26.54
"11116","Greene",2021-01-23,289,5285,61,12.34,30,43.92
"11117","Hempstead",2021-01-23,142,1567,13,11.05,26,48.14
"11118","HotSpring",2021-01-23,249,4241,62,9.97,30,63.25
"11119","Howard",2021-01-23,57,1295,20,13.19,9,24.65
"11120","Independence",2021-01-23,191,3352,109,9.98,17,24.15
"11121","Izard",2021-01-23,66,1515,31,10.46,5,17.7
"11122","Jackson",2021-01-23,42,3024,30,12.53,3,16.84
"11123","Jefferson",2021-01-23,440,7708,143,9.89,27,26.55
"11124","Johnson",2021-01-23,160,2378,26,11.05,15,45.26
"11125","Lafayette",2021-01-23,42,427,7,13.69,8,34.71
"11126","Lawrence",2021-01-23,87,1864,40,13.49,4,38.99
"11127","Lee",2021-01-23,59,1584,30,14.53,3,50.01
"11128","Lincoln",2021-01-23,80,2988,34,13.73,8,36.51
"11129","LittleRiver",2021-01-23,54,998,39,13.47,14,27.38
"11130","Logan",2021-01-23,156,1889,13,8.05,20,34.93
"11131","Lonoke",2021-01-23,520,5599,98,9.83,55,42.52
"11132","Madison",2021-01-23,87,1259,16,10.59,5,34.83
"11133","Marion",2021-01-23,59,825,27,9.37,4,13.99
"11134","Miller",2021-01-23,111,3254,28,16.37,24,18.97
"11135","MissingCountyInfo",2021-01-23,198,2947,0,3.19,-240,NA
"11136","Mississippi",2021-01-23,198,5044,103,13.98,30,36.66
"11137","Monroe",2021-01-23,91,660,14,10.08,7,89.67
"11138","Montgomery",2021-01-23,39,634,24,9.53,3,26.69
"11139","Nevada",2021-01-23,45,683,22,6.45,8,34.36
"11140","Newton",2021-01-23,33,633,26,10.46,4,31.86
"11141","Ouachita",2021-01-23,158,1847,42,11.32,22,60.57
"11142","Perry",2021-01-23,79,643,6,6.34,10,56.19
"11143","Phillips",2021-01-23,86,1532,30,9.39,11,38.35
"11144","Pike",2021-01-23,46,861,17,11.85,1,29.61
"11145","Poinsett",2021-01-23,189,2848,70,12.03,21,64.44
"11146","Polk",2021-01-23,117,1603,53,13.04,20,49.1
"11147","Pope",2021-01-23,495,6939,80,11.09,48,56.41
"11148","Prairie",2021-01-23,92,721,19,11.24,9,76.42
"11149","Pulaski",2021-01-23,2972,31871,478,9.2,243,62.12
"11150","Randolph",2021-01-23,81,1785,46,10.83,5,32.38
"11151","Saline",2021-01-23,761,9860,139,10.53,86,43.98
"11152","Scott",2021-01-23,76,828,14,8.43,7,38.31
"11153","Searcy",2021-01-23,40,594,14,10.47,4,15.15
"11154","Sebastian",2021-01-23,1048,12926,205,10.16,44,51.78
"11155","Sevier",2021-01-23,39,2308,24,15.58,9,13.96
"11156","Sharp",2021-01-23,86,1409,40,9.63,5,24.64
"11157","St.Francis",2021-01-23,196,3245,30,11.26,18,58.95
"11158","Stone",2021-01-23,49,890,27,9.18,2,14.46
"11159","Union",2021-01-23,251,3165,89,12.42,52,51.09
"11160","VanBuren",2021-01-23,101,1036,12,8.08,7,35.96
"11161","Washington",2021-01-23,1774,26721,272,12.36,169,52.95
"11162","White",2021-01-23,384,6223,82,13.24,51,30.2
"11163","Woodruff",2021-01-23,58,521,5,7.56,1,42.04
"11164","Yell",2021-01-23,167,2955,59,10.83,12,54.7
"11165","Arkansas_all_counties",2021-01-24,19395,284066,4606,10.62,1071,46.2
"11166","Arkansas_county",2021-01-24,170,1686,35,8.98,9,46.35
"11167","Ashley",2021-01-24,118,1587,27,11.23,15,47.23
"11168","Baxter",2021-01-24,126,2550,89,13.81,7,19.89
"11169","Benton",2021-01-24,1658,24129,325,12.85,87,44.95
"11170","Boone",2021-01-24,229,3162,74,10.77,7,34.6
"11171","Bradley",2021-01-24,84,1203,27,12.22,5,47.5
"11172","Calhoun",2021-01-24,41,318,2,9.07,4,59.59
"11173","Carroll",2021-01-24,139,2479,38,13.23,4,40.52
"11174","Chicot",2021-01-24,46,1538,38,11.39,5,32.33
"11175","Clark",2021-01-24,168,1750,32,7.79,11,65.22
"11176","Clay",2021-01-24,81,1529,40,9.64,-1,35.85
"11177","Cleburne",2021-01-24,117,1690,50,8.75,4,24.18
"11178","Cleveland",2021-01-24,84,741,23,9.04,3,57.14
"11179","Columbia",2021-01-24,90,1857,49,10.26,4,18
"11180","Conway",2021-01-24,183,1894,24,9.92,11,74.62
"11181","Craighead",2021-01-24,594,11900,158,11.48,35,44.18
"11182","Crawford",2021-01-24,506,5937,85,9.97,32,60.35
"11183","Crittenden",2021-01-24,278,5229,80,13.85,12,51.21
"11184","Cross",2021-01-24,120,1780,41,11.63,2,51.77
"11185","Dallas",2021-01-24,77,647,12,10.03,2,79.39
"11186","Desha",2021-01-24,77,1138,16,10.87,6,39.54
"11187","Drew",2021-01-24,139,1780,29,10.63,8,58.37
"11188","Faulkner",2021-01-24,895,10156,124,9.46,56,47.13
"11189","Franklin",2021-01-24,119,1429,30,8.33,11,37.68
"11190","Fulton",2021-01-24,21,1017,41,15.28,1,9.06
"11191","Garland",2021-01-24,711,7987,195,9.66,89,59.72
"11192","Grant",2021-01-24,77,1333,27,9.62,6,27.65
"11193","Greene",2021-01-24,285,5302,61,12.36,17,43.92
"11194","Hempstead",2021-01-24,135,1571,13,11.05,4,44.96
"11195","HotSpring",2021-01-24,246,4257,62,9.96,16,63.54
"11196","Howard",2021-01-24,56,1298,20,13.19,3,23.15
"11197","Independence",2021-01-24,176,3357,109,9.92,5,21.2
"11198","Izard",2021-01-24,62,1518,31,10.47,3,16.96
"11199","Jackson",2021-01-24,41,3028,30,12.5,4,16.26
"11200","Jefferson",2021-01-24,444,7742,144,9.89,34,28.97
"11201","Johnson",2021-01-24,162,2396,26,11.07,18,47.54
"11202","Lafayette",2021-01-24,42,430,7,13.76,3,34.71
"11203","Lawrence",2021-01-24,83,1868,40,13.5,4,36.59
"11204","Lee",2021-01-24,59,1587,30,14.54,3,51.07
"11205","Lincoln",2021-01-24,81,2996,35,13.75,8,38.7
"11206","LittleRiver",2021-01-24,53,999,39,13.36,1,27.38
"11207","Logan",2021-01-24,159,1903,15,8.1,14,35.85
"11208","Lonoke",2021-01-24,515,5630,99,9.85,31,43.63
"11209","Madison",2021-01-24,84,1267,16,10.63,8,36.08
"11210","Marion",2021-01-24,53,826,27,9.38,1,11.56
"11211","Miller",2021-01-24,104,3258,28,16.37,4,17.6
"11212","MissingCountyInfo",2021-01-24,176,2917,0,3.15,-30,NA
"11213","Mississippi",2021-01-24,192,5053,103,13.98,9,34.79
"11214","Monroe",2021-01-24,95,667,14,10.11,7,96.57
"11215","Montgomery",2021-01-24,32,638,24,9.56,4,21.13
"11216","Nevada",2021-01-24,47,686,23,6.45,3,37.91
"11217","Newton",2021-01-24,33,633,26,10.45,0,31.86
"11218","Ouachita",2021-01-24,147,1850,43,11.28,3,56.42
"11219","Perry",2021-01-24,76,646,6,6.3,3,55.22
"11220","Phillips",2021-01-24,85,1537,30,9.41,5,37.83
"11221","Pike",2021-01-24,40,861,17,11.84,0,25.91
"11222","Poinsett",2021-01-24,187,2855,70,12,7,62.36
"11223","Polk",2021-01-24,114,1612,54,13.07,9,47.12
"11224","Pope",2021-01-24,505,6976,80,11.1,37,59.86
"11225","Prairie",2021-01-24,88,724,20,11.25,3,71.57
"11226","Pulaski",2021-01-24,2908,32044,480,9.21,173,61.78
"11227","Randolph",2021-01-24,78,1787,46,10.84,2,32.38
"11228","Saline",2021-01-24,750,9906,140,10.54,46,44.49
"11229","Scott",2021-01-24,68,829,14,8.42,1,31.6
"11230","Searcy",2021-01-24,38,595,14,10.48,1,15.15
"11231","Sebastian",2021-01-24,1005,12974,205,10.18,48,50.29
"11232","Sevier",2021-01-24,40,2312,24,15.53,4,14.54
"11233","Sharp",2021-01-24,76,1409,41,9.62,0,22.3
"11234","St.Francis",2021-01-24,188,3248,31,11.25,3,57.43
"11235","Stone",2021-01-24,44,892,27,9.19,2,12.05
"11236","Union",2021-01-24,246,3176,89,12.44,11,48.83
"11237","VanBuren",2021-01-24,99,1039,12,8.09,3,35.36
"11238","Washington",2021-01-24,1669,26790,283,12.37,69,49.88
"11239","White",2021-01-24,357,6241,83,13.23,18,27.66
"11240","Woodruff",2021-01-24,60,524,5,7.52,3,43.54
"11241","Yell",2021-01-24,164,2966,59,10.83,11,54.7
"11242","Arkansas_all_counties",2021-01-25,17792,284702,4650,10.6,636,43.2
"11243","Arkansas_county",2021-01-25,153,1686,35,8.93,0,44.14
"11244","Ashley",2021-01-25,112,1588,27,11.21,1,45.77
"11245","Baxter",2021-01-25,108,2553,90,13.79,3,17.95
"11246","Benton",2021-01-25,1519,24196,328,12.81,67,42.44
"11247","Boone",2021-01-25,219,3169,74,10.77,7,33.79
"11248","Bradley",2021-01-25,79,1205,28,12.19,2,48.41
"11249","Calhoun",2021-01-25,36,318,2,9.03,0,51.9
"11250","Carroll",2021-01-25,114,2480,38,13.2,1,32.99
"11251","Chicot",2021-01-25,42,1537,38,11.33,-1,31.41
"11252","Clark",2021-01-25,162,1754,32,7.76,4,62.54
"11253","Clay",2021-01-25,74,1534,41,9.65,5,32.53
"11254","Cleburne",2021-01-25,106,1693,54,8.76,3,22.2
"11255","Cleveland",2021-01-25,77,744,23,9.04,3,52.27
"11256","Columbia",2021-01-25,83,1858,49,10.24,1,18
"11257","Conway",2021-01-25,160,1902,24,9.91,8,65.05
"11258","Craighead",2021-01-25,561,11933,161,11.48,33,41.44
"11259","Crawford",2021-01-25,487,5959,85,9.95,22,59.23
"11260","Crittenden",2021-01-25,249,5237,80,13.83,8,45.91
"11261","Cross",2021-01-25,107,1783,42,11.57,3,45.89
"11262","Dallas",2021-01-25,68,646,12,9.99,-1,68.62
"11263","Desha",2021-01-25,71,1139,16,10.85,1,36.17
"11264","Drew",2021-01-25,129,1784,30,10.57,4,56.21
"11265","Faulkner",2021-01-25,821,10180,125,9.45,24,44.28
"11266","Franklin",2021-01-25,119,1439,30,8.34,10,39.37
"11267","Fulton",2021-01-25,16,1017,42,15.27,0,6.59
"11268","Garland",2021-01-25,637,8002,196,9.62,15,53.92
"11269","Grant",2021-01-25,70,1335,27,9.59,2,26.54
"11270","Greene",2021-01-25,254,5310,62,12.36,8,38.55
"11271","Hempstead",2021-01-25,125,1576,13,11.06,5,42.69
"11272","HotSpring",2021-01-25,214,4263,62,9.94,6,56.09
"11273","Howard",2021-01-25,52,1301,21,13.21,3,21.66
"11274","Independence",2021-01-25,155,3358,110,9.89,1,20.4
"11275","Izard",2021-01-25,58,1520,32,10.48,2,16.96
"11276","Jackson",2021-01-25,35,3028,30,12.49,0,13.93
"11277","Jefferson",2021-01-25,425,7771,145,9.9,29,28.97
"11278","Johnson",2021-01-25,143,2395,26,11.03,-1,42.22
"11279","Lafayette",2021-01-25,38,432,7,13.8,2,33.26
"11280","Lawrence",2021-01-25,75,1874,40,13.46,6,32.4
"11281","Lee",2021-01-25,55,1589,30,14.5,2,51.07
"11282","Lincoln",2021-01-25,76,2998,35,13.71,2,40.16
"11283","LittleRiver",2021-01-25,49,1002,39,13.37,3,25.77
"11284","Logan",2021-01-25,146,1908,15,8.06,5,33.55
"11285","Lonoke",2021-01-25,482,5641,100,9.8,11,41.96
"11286","Madison",2021-01-25,88,1273,17,10.64,6,36.08
"11287","Marion",2021-01-25,47,827,27,9.36,1,11.56
"11288","Miller",2021-01-25,98,3257,28,16.35,-1,16.68
"11289","MissingCountyInfo",2021-01-25,145,2906,0,3.17,-11,NA
"11290","Mississippi",2021-01-25,174,5059,103,13.98,6,31.52
"11291","Monroe",2021-01-25,96,673,14,10.14,6,102.08
"11292","Montgomery",2021-01-25,29,639,26,9.48,1,20.02
"11293","Nevada",2021-01-25,46,689,23,6.43,3,39.1
"11294","Newton",2021-01-25,31,633,26,10.35,0,30.58
"11295","Ouachita",2021-01-25,144,1857,43,11.3,7,54.76
"11296","Perry",2021-01-25,68,649,6,6.32,3,50.38
"11297","Phillips",2021-01-25,77,1540,30,9.39,3,35.73
"11298","Pike",2021-01-25,33,862,18,11.82,1,21.28
"11299","Poinsett",2021-01-25,172,2858,71,11.99,3,58.2
"11300","Polk",2021-01-25,99,1614,54,13.05,2,42.65
"11301","Pope",2021-01-25,465,6983,81,11.05,7,55.62
"11302","Prairie",2021-01-25,84,726,20,11.16,2,67.93
"11303","Pulaski",2021-01-25,2726,32177,482,9.2,133,58.68
"11304","Randolph",2021-01-25,66,1787,46,10.81,0,28.4
"11305","Saline",2021-01-25,685,9927,140,10.52,21,40.76
"11306","Scott",2021-01-25,59,830,14,8.41,1,27.77
"11307","Searcy",2021-01-25,36,596,14,10.47,1,16.41
"11308","Sebastian",2021-01-25,900,12999,208,10.14,25,45.9
"11309","Sevier",2021-01-25,39,2316,25,15.54,4,14.54
"11310","Sharp",2021-01-25,66,1411,41,9.61,2,20.54
"11311","St.Francis",2021-01-25,171,3263,31,11.25,15,54.77
"11312","Stone",2021-01-25,41,896,27,9.21,4,14.46
"11313","Union",2021-01-25,224,3180,89,12.36,4,45.3
"11314","VanBuren",2021-01-25,90,1041,13,8.08,2,33.57
"11315","Washington",2021-01-25,1504,26856,288,12.34,66,46.12
"11316","White",2021-01-25,320,6248,84,13.19,7,25.63
"11317","Woodruff",2021-01-25,55,524,5,7.49,0,42.04
"11318","Yell",2021-01-25,153,2969,60,10.8,3,51.92
"11319","Arkansas_all_counties",2021-01-26,18158,287187,4690,10.62,2485,42.65
"11320","Arkansas_county",2021-01-26,149,1696,35,8.94,10,42.49
"11321","Ashley",2021-01-26,94,1594,27,11.23,6,35.55
"11322","Baxter",2021-01-26,110,2566,91,13.85,13,16.98
"11323","Benton",2021-01-26,1572,24423,333,12.85,227,43.09
"11324","Boone",2021-01-26,225,3215,74,10.82,46,34.6
"11325","Bradley",2021-01-26,78,1209,28,12.21,4,47.5
"11326","Calhoun",2021-01-26,36,323,2,9.12,5,51.9
"11327","Carroll",2021-01-26,123,2503,38,13.2,23,34.07
"11328","Chicot",2021-01-26,41,1543,38,11.19,6,27.71
"11329","Clark",2021-01-26,156,1766,32,7.77,12,59.41
"11330","Clay",2021-01-26,75,1540,41,9.63,6,32.53
"11331","Cleburne",2021-01-26,103,1703,56,8.77,10,20.61
"11332","Cleveland",2021-01-26,82,753,23,9.12,9,49.84
"11333","Columbia",2021-01-26,90,1877,49,10.31,19,17.16
"11334","Conway",2021-01-26,156,1915,25,9.9,13,60.75
"11335","Craighead",2021-01-26,540,11976,161,11.47,43,39.36
"11336","Crawford",2021-01-26,509,6029,86,10.03,70,61.95
"11337","Crittenden",2021-01-26,240,5269,80,13.87,32,42.44
"11338","Cross",2021-01-26,107,1789,42,11.59,6,44.71
"11339","Dallas",2021-01-26,64,646,12,9.97,0,64.59
"11340","Desha",2021-01-26,81,1156,16,10.91,17,42.9
"11341","Drew",2021-01-26,133,1801,31,10.61,17,54.05
"11342","Faulkner",2021-01-26,792,10272,128,9.48,92,40.76
"11343","Franklin",2021-01-26,132,1462,30,8.43,23,43.87
"11344","Fulton",2021-01-26,16,1018,42,15.22,1,7.41
"11345","Garland",2021-01-26,693,8128,196,9.73,126,57.68
"11346","Grant",2021-01-26,65,1338,27,9.6,3,22.67
"11347","Greene",2021-01-26,277,5366,63,12.38,56,43.48
"11348","Hempstead",2021-01-26,111,1581,13,11.02,5,39.51
"11349","HotSpring",2021-01-26,213,4291,62,9.93,28,53.7
"11350","Howard",2021-01-26,66,1317,21,13.17,16,23.15
"11351","Independence",2021-01-26,168,3384,111,9.9,26,21.2
"11352","Izard",2021-01-26,59,1531,33,10.41,11,16.96
"11353","Jackson",2021-01-26,40,3035,30,12.39,7,13.93
"11354","Jefferson",2021-01-26,443,7836,145,9.9,65,28.83
"11355","Johnson",2021-01-26,141,2413,26,10.91,18,38.42
"11356","Lafayette",2021-01-26,36,434,7,13.78,2,33.26
"11357","Lawrence",2021-01-26,68,1878,40,13.44,4,28.8
"11358","Lee",2021-01-26,51,1591,30,14.48,2,46.82
"11359","Lincoln",2021-01-26,90,3018,37,13.49,20,40.89
"11360","LittleRiver",2021-01-26,49,1011,39,13.44,9,25.77
"11361","Logan",2021-01-26,143,1920,15,8.06,12,32.63
"11362","Lonoke",2021-01-26,501,5710,101,9.85,69,39.47
"11363","Madison",2021-01-26,110,1300,17,10.73,27,39.19
"11364","Marion",2021-01-26,60,843,27,9.46,16,11.56
"11365","Miller",2021-01-26,101,3294,28,16.49,37,17.6
"11366","MissingCountyInfo",2021-01-26,146,2856,0,3.12,-50,NA
"11367","Mississippi",2021-01-26,194,5109,103,13.93,50,32.69
"11368","Monroe",2021-01-26,91,681,14,10.23,8,95.19
"11369","Montgomery",2021-01-26,28,643,27,9.51,4,18.9
"11370","Nevada",2021-01-26,46,692,23,6.42,3,37.91
"11371","Newton",2021-01-26,31,636,26,10.33,3,30.58
"11372","Ouachita",2021-01-26,142,1873,43,11.36,16,52.27
"11373","Perry",2021-01-26,55,652,6,6.33,3,36.81
"11374","Phillips",2021-01-26,83,1551,30,9.41,11,38.88
"11375","Pike",2021-01-26,32,867,19,11.8,5,19.43
"11376","Poinsett",2021-01-26,176,2875,71,12,17,56.96
"11377","Polk",2021-01-26,93,1620,55,13.05,6,42.16
"11378","Pope",2021-01-26,465,7030,83,10.93,47,52.48
"11379","Prairie",2021-01-26,92,738,20,11.28,12,64.29
"11380","Pulaski",2021-01-26,2783,32563,486,9.24,386,57.69
"11381","Randolph",2021-01-26,64,1797,46,10.83,10,27.84
"11382","Saline",2021-01-26,691,10036,143,10.56,109,40
"11383","Scott",2021-01-26,55,835,14,8.4,5,28.73
"11384","Searcy",2021-01-26,33,598,14,10.47,2,15.15
"11385","Sebastian",2021-01-26,962,13192,212,10.24,193,49.51
"11386","Sevier",2021-01-26,38,2323,25,15.51,7,13.38
"11387","Sharp",2021-01-26,68,1420,41,9.56,9,19.36
"11388","St.Francis",2021-01-26,172,3274,31,11.2,11,53.24
"11389","Stone",2021-01-26,38,901,28,9.23,5,12.86
"11390","Union",2021-01-26,228,3221,89,12.43,41,45.3
"11391","VanBuren",2021-01-26,90,1051,13,8.07,10,31.17
"11392","Washington",2021-01-26,1529,27059,291,12.32,203,46.34
"11393","White",2021-01-26,329,6306,84,13.22,58,22.71
"11394","Woodruff",2021-01-26,58,533,5,7.54,9,40.54
"11395","Yell",2021-01-26,157,2992,60,10.78,23,49.14
"11396","Arkansas_all_counties",2021-01-27,17686,288964,4742,10.62,1777,41.1
"11397","Arkansas_county",2021-01-27,169,1726,36,9.04,30,47.45
"11398","Ashley",2021-01-27,86,1606,27,11.24,12,29.7
"11399","Baxter",2021-01-27,105,2575,92,13.88,9,15.77
"11400","Benton",2021-01-27,1510,24582,337,12.87,159,40.97
"11401","Boone",2021-01-27,237,3251,74,10.89,36,34.86
"11402","Bradley",2021-01-27,79,1222,28,12.01,13,45.67
"11403","Calhoun",2021-01-27,41,331,2,9.29,8,49.98
"11404","Carroll",2021-01-27,112,2511,38,13.14,8,30.12
"11405","Chicot",2021-01-27,35,1544,38,11.14,1,24.02
"11406","Clark",2021-01-27,138,1783,33,7.78,17,49.59
"11407","Clay",2021-01-27,72,1545,41,9.62,5,29.21
"11408","Cleburne",2021-01-27,102,1723,57,8.8,20,22.2
"11409","Cleveland",2021-01-27,81,761,23,8.91,8,48.63
"11410","Columbia",2021-01-27,90,1887,49,10.24,10,16.32
"11411","Conway",2021-01-27,161,1929,25,9.9,14,63.62
"11412","Craighead",2021-01-27,520,12018,162,11.46,42,38.6
"11413","Crawford",2021-01-27,470,6070,86,10.05,41,57.95
"11414","Crittenden",2021-01-27,217,5286,81,13.87,17,38.36
"11415","Cross",2021-01-27,103,1794,43,11.56,5,41.77
"11416","Dallas",2021-01-27,51,651,12,9.99,5,52.48
"11417","Desha",2021-01-27,85,1171,17,10.98,15,48.79
"11418","Drew",2021-01-27,125,1816,31,10.62,15,51.89
"11419","Faulkner",2021-01-27,769,10355,132,9.49,83,39.37
"11420","Franklin",2021-01-27,130,1474,30,8.46,12,43.31
"11421","Fulton",2021-01-27,16,1022,42,15.25,4,7.41
"11422","Garland",2021-01-27,642,8167,199,9.73,39,51.99
"11423","Grant",2021-01-27,62,1344,28,9.61,6,21.56
"11424","Greene",2021-01-27,272,5391,63,12.37,25,42.13
"11425","Hempstead",2021-01-27,105,1589,13,11.03,8,37.7
"11426","HotSpring",2021-01-27,214,4313,62,9.9,22,52.51
"11427","Howard",2021-01-27,69,1322,21,13.12,5,24.65
"11428","Independence",2021-01-27,162,3406,111,9.92,22,19.32
"11429","Izard",2021-01-27,57,1535,35,10.38,4,16.96
"11430","Jackson",2021-01-27,35,3038,30,12.38,3,12.19
"11431","Jefferson",2021-01-27,461,7888,147,9.91,52,29.82
"11432","Johnson",2021-01-27,127,2419,26,10.88,6,33.85
"11433","Lafayette",2021-01-27,35,436,7,13.76,2,31.81
"11434","Lawrence",2021-01-27,64,1885,41,13.36,7,26.4
"11435","Lee",2021-01-27,46,1593,31,14.45,2,41.5
"11436","Lincoln",2021-01-27,88,3026,38,13.5,8,40.16
"11437","LittleRiver",2021-01-27,44,1014,39,13.45,3,24.16
"11438","Logan",2021-01-27,146,1935,15,8.06,15,32.63
"11439","Lonoke",2021-01-27,513,5780,101,9.84,70,40.44
"11440","Madison",2021-01-27,107,1309,17,10.73,9,39.19
"11441","Marion",2021-01-27,54,843,27,9.45,0,9.73
"11442","Miller",2021-01-27,90,3305,28,16.45,11,15.77
"11443","MissingCountyInfo",2021-01-27,121,2823,0,3.07,-33,NA
"11444","Mississippi",2021-01-27,218,5148,104,13.99,39,38.76
"11445","Monroe",2021-01-27,91,688,14,10.29,7,89.67
"11446","Montgomery",2021-01-27,24,643,27,9.5,0,18.9
"11447","Nevada",2021-01-27,47,701,23,6.48,9,36.73
"11448","Newton",2021-01-27,28,637,26,10.33,1,26.76
"11449","Ouachita",2021-01-27,153,1907,44,11.48,34,52.27
"11450","Perry",2021-01-27,51,655,6,6.27,3,32.94
"11451","Phillips",2021-01-27,81,1564,31,9.46,13,37.83
"11452","Pike",2021-01-27,31,870,19,11.8,3,19.43
"11453","Poinsett",2021-01-27,173,2893,72,12.01,18,54.46
"11454","Polk",2021-01-27,85,1626,55,13.04,6,38.68
"11455","Pope",2021-01-27,439,7066,84,10.92,36,48.55
"11456","Prairie",2021-01-27,89,746,20,11.34,8,63.08
"11457","Pulaski",2021-01-27,2776,32839,492,9.26,276,58
"11458","Randolph",2021-01-27,63,1802,46,10.82,5,25.56
"11459","Saline",2021-01-27,672,10112,145,10.55,76,38.64
"11460","Scott",2021-01-27,55,843,14,8.4,8,26.81
"11461","Searcy",2021-01-27,31,601,14,10.5,3,13.88
"11462","Sebastian",2021-01-27,925,13289,216,10.26,97,47.62
"11463","Sevier",2021-01-27,40,2327,25,15.51,4,15.12
"11464","Sharp",2021-01-27,61,1426,44,9.58,6,17.02
"11465","St.Francis",2021-01-27,165,3278,31,11.18,4,50.96
"11466","Stone",2021-01-27,37,904,29,9.21,3,11.25
"11467","Union",2021-01-27,205,3233,89,12.37,12,38.76
"11468","VanBuren",2021-01-27,100,1068,13,8.15,17,33.57
"11469","Washington",2021-01-27,1503,27213,291,12.34,154,44.33
"11470","White",2021-01-27,335,6349,87,13.18,43,22.21
"11471","Woodruff",2021-01-27,51,538,5,7.59,5,34.53
"11472","Yell",2021-01-27,139,3004,61,10.76,12,46.35
"11473","Arkansas_all_counties",2021-01-28,17547,290856,4784,10.62,1892,40.7
"11474","Arkansas_county",2021-01-28,159,1730,36,9.01,4,45.8
"11475","Ashley",2021-01-28,85,1613,27,11.22,7,28.24
"11476","Baxter",2021-01-28,107,2590,94,13.89,15,16.01
"11477","Benton",2021-01-28,1472,24738,341,12.89,156,39.04
"11478","Boone",2021-01-28,234,3274,74,10.9,23,32.72
"11479","Bradley",2021-01-28,69,1228,29,11.99,6,41.1
"11480","Calhoun",2021-01-28,42,338,2,9.41,7,51.9
