"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recoveries","Total_Tests","Active_Cases","pop_5yr_est_2018","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:2","Arkansas",2021-02-28,33,1,1,1993,20841,1919,22960,41,18124,1317,676,14788,6053,1274,645,25,8,18,23,16105,6855,1317,14788,802,6053,2119,20841,13,21,-5,47,11,125.99,7.17,9.93,8.73,27.66,1952,1.69,98.31,19647,3187
"1:3","Ashley",2021-02-28,29,3,3,1827,14654,1759,16547,39,20537,1457,370,13252,1402,1415,344,24,5,18,21,14709,1838,1457,13252,436,1402,1893,14654,49,50,-4,71,8.9,80.25,23.86,8.76,11.09,69.01,1788,1.62,98.38,14459,2023
"1:4","Baxter",2021-02-28,94,5,5,2891,18245,2736,21191,61,41219,2031,860,15964,2281,1918,818,64,30,49,12,17995,3196,2031,15964,915,2281,2946,18245,63,67,0,150,7.01,51.28,15.28,11.89,13.68,42,2830,3.32,96.68,17063,4073
"1:5","Benton",2021-02-28,379,7,7,27243,201992,26419,230377,445,258980,20684,6559,183620,18372,20110,6309,281,98,293,152,204304,26073,20684,183620,7701,18372,28385,201992,100,104,-7,12923,10.52,88.51,3.86,11.31,11.88,0.77,26798,1.41,98.59,211476,17764
"1:6","Boone",2021-02-28,73,9,9,3638,31054,3519,34861,46,37288,2744,894,27311,3743,2646,873,63,10,35,11,30055,4806,2744,27311,1063,3743,3807,31054,2,3,-6,125,9.76,93.04,0.54,9.39,10.49,1.6,3592,2.03,97.97,30891,3801
"1:7","Bradley",2021-02-28,30,11,11,1321,9981,1283,11341,8,10948,975,346,6237,3744,953,330,16,14,6,2,7212,4129,975,6237,385,3744,1360,9981,-1,-1,-1,8,12.07,103.23,-0.91,5.48,11.69,-12.5,1313,2.28,97.72,8828,2474
"1:8","Calhoun",2021-02-28,2,13,13,398,3670,391,4101,5,5202,300,98,3234,436,294,97,2,0,4,1,3534,567,300,3234,131,436,431,3670,6,7,-1,9,7.65,78.2,11.53,7.69,9.78,66.67,393,0.51,99.49,3384,684
"1:9","Carroll",2021-02-28,41,15,15,2713,19040,2658,21812,14,27887,2306,407,18321,719,2259,399,37,4,10,4,20627,1185,2306,18321,466,719,2772,19040,-5,-6,0,216,9.73,78,-1.79,3.59,12.47,-2.31,2699,1.52,98.48,17242,4511
"1:10","Chicot",2021-02-28,38,17,17,1585,14080,1543,15700,4,10826,1450,135,10549,3531,1410,133,36,2,4,NA,11999,3701,1450,10549,170,3531,1620,14080,-2,0,-2,-11,14.64,144.7,-1.85,3.69,10.12,18.18,1581,2.4,97.6,13008,2657
"1:11","Clark",2021-02-28,37,19,19,2036,25488,1946,27608,53,22385,1667,369,20725,4763,1592,354,31,6,44,9,22392,5216,1667,20725,453,4763,2120,25488,2,2,0,333,9.1,122.96,0.89,19.66,7.4,0.6,1983,1.87,98.13,24849,2675
"1:12","Clay",2021-02-28,48,21,21,1693,16566,1622,18321,23,15061,1307,386,12018,4548,1256,366,34,14,17,6,13325,4996,1307,12018,448,4548,1755,16566,13,10,2,36,11.24,121.23,8.63,11.29,9.27,36.11,1670,2.87,97.13,16718,1541
"1:13","Cleburne",2021-02-28,64,23,23,1885,20451,1807,22437,14,25230,1355,530,15874,4577,1299,508,46,18,10,4,17229,5208,1355,15874,631,4577,1986,20451,11,16,-4,48,7.47,88.53,4.36,3.96,8.44,22.92,1871,3.42,96.58,20875,1461
"1:14","Cleveland",2021-02-28,23,25,25,922,8971,893,9933,6,8226,582,340,7301,1670,560,333,18,5,4,2,7883,2050,582,7301,380,1670,962,8971,6,5,0,17,11.21,120.27,7.29,4.86,9.32,35.29,916,2.51,97.49,5488,4405
"1:15","Columbia",2021-02-28,52,27,27,2259,19152,2148,21611,59,23892,1334,925,13597,5555,1278,870,34,18,22,37,14931,6680,1334,13597,1125,5555,2459,19152,107,107,-2,142,9.46,89.62,44.78,9.21,10.55,75.35,2200,2.36,97.64,17836,3576
"1:16","Conway",2021-02-28,30,29,29,2144,20102,2093,22330,21,20906,1696,448,16296,3806,1651,442,26,4,19,2,17992,4338,1696,16296,532,3806,2228,20102,-1,0,-1,202,10.26,106.41,-0.48,9.09,9.64,-0.5,2123,1.41,98.59,17495,4751
"1:17","Craighead",2021-02-28,168,31,31,12831,108418,12546,121607,116,105701,11178,1653,92387,16031,10935,1611,150,18,92,24,103565,18042,11178,92387,2011,16031,13189,108418,78,92,-10,980,12.14,114.71,7.38,8.7,10.58,7.96,12714,1.32,98.68,112393,8856
"1:18","Crawford",2021-02-28,102,33,33,6781,63020,6589,69934,89,62472,5517,1264,59727,3293,5363,1226,86,16,67,22,65244,4690,5517,59727,1397,3293,6914,63020,25,30,-5,1884,10.85,111.73,4,10.72,9.71,1.33,6691,1.52,98.48,63367,6434
"1:19","Crittenden",2021-02-28,90,35,35,5754,37998,5601,43942,61,49013,5404,350,35444,2554,5274,327,79,11,49,12,40848,3094,5404,35444,540,2554,5944,37998,79,83,-4,837,11.74,89.27,16.12,10,13.15,9.44,5691,1.58,98.42,38426,5326
"1:20","Cross",2021-02-28,47,37,37,1890,15479,1822,17442,21,16998,1483,407,14399,1080,1425,397,44,3,14,7,15882,1560,1483,14399,480,1080,1963,15479,-10,-10,-1,99,11.12,102.18,-5.88,8.24,10.88,-10.1,1869,2.51,97.49,15760,1610
"1:21","Dallas",2021-02-28,12,39,39,736,6863,713,7616,11,7432,649,87,6429,434,630,83,10,2,9,2,7078,538,649,6429,104,434,753,6863,11,11,0,21,9.9,102.25,14.8,12.11,9.69,52.38,725,1.66,98.34,6287,1312
"1:22","Desha",2021-02-28,21,41,41,1329,10931,1283,12340,25,11887,1080,249,8864,2067,1048,235,17,4,15,10,9944,2396,1080,8864,329,2067,1409,10931,-3,-1,0,-60,11.18,103.14,-2.52,12.62,10.84,5,1304,1.61,98.39,10447,1813
"1:23","Drew",2021-02-28,35,43,43,1946,17031,1902,19043,8,18502,1540,406,14197,2834,1502,400,30,5,8,NA,15737,3306,1540,14197,472,2834,2012,17031,-7,-7,0,-6,10.52,102.57,-3.78,4.32,10.25,116.67,1937,1.81,98.19,16428,2553
"1:24","Faulkner",2021-02-28,149,45,45,11767,112793,11452,125165,166,122416,8976,2791,96300,16493,8738,2714,126,23,112,54,105276,19889,8976,96300,3396,16493,12372,112793,67,86,-6,631,9.61,101.75,5.47,9.15,9.45,10.62,11601,1.28,98.72,100618,23942
"1:25","Franklin",2021-02-28,37,47,47,1630,18351,1558,20040,35,17780,1210,420,16722,1629,1160,398,32,5,18,17,17932,2108,1210,16722,479,1629,1689,18351,0,-2,3,477,9.17,112.38,0,10.12,8.16,0,1595,2.32,97.68,16844,3137
"1:26","Fulton",2021-02-28,46,49,49,1076,6417,1024,7545,6,12139,776,300,4853,1564,749,275,23,23,4,2,5629,1916,776,4853,352,1564,1128,6417,2,3,-1,9,8.86,61.73,1.65,3.3,14.36,22.22,1070,4.3,95.7,6275,1218
"1:27","Garland",2021-02-28,231,51,51,9726,93720,9296,103774,199,98296,8179,1547,82844,10876,7835,1461,192,39,152,47,91023,12751,8179,82844,1875,10876,10054,93720,70,74,-2,7635,9.89,105.24,7.12,15.46,9.4,0.92,9527,2.42,97.58,78675,24772
"1:28","Grant",2021-02-28,31,53,53,1580,14376,1525,16030,24,18086,1137,443,11741,2635,1094,431,28,3,15,9,12878,3152,1137,11741,517,2635,1654,14376,18,22,-1,101,8.74,88.22,9.95,8.29,9.9,17.82,1556,1.99,98.01,12649,3307
"1:29","Greene",2021-02-28,72,55,55,5894,43544,5773,49659,49,44623,4725,1169,37157,6387,4626,1147,60,12,39,10,41882,7777,4725,37157,1390,6387,6115,43544,85,88,-3,225,13.21,110.79,19.05,8.74,11.92,37.78,5845,1.23,98.77,43651,5787
"1:30","Hempstead",2021-02-28,18,57,57,1924,15492,1871,17490,35,22018,1431,493,14021,1471,1399,472,11,7,21,14,15452,2038,1431,14021,567,1471,1998,15492,85,84,0,97,8.74,79.1,38.6,9.54,11.05,87.63,1889,0.95,99.05,14207,3209
"1:31","Hot Spring",2021-02-28,66,59,59,4848,47386,4638,52335,144,33520,4366,482,36986,10400,4221,417,59,7,86,58,41352,10983,4366,36986,583,10400,4949,47386,2,1,-2,753,14.46,155.83,0.6,25.66,9.28,0.27,4704,1.4,98.6,36580,15656
"1:32","Howard",2021-02-28,23,61,61,1579,10159,1528,11838,28,13389,1006,573,7574,2585,977,551,20,3,9,19,8580,3258,1006,7574,673,2585,1679,10159,44,46,-1,81,11.79,87.67,32.86,6.72,13.45,54.32,1551,1.48,98.52,9489,2249
"1:33","Independence",2021-02-28,116,63,63,3663,37398,3518,41251,29,37264,2428,1235,30227,7171,2324,1194,84,32,20,9,32655,8596,2428,30227,1425,7171,3853,37398,4,13,-5,73,9.83,110.19,1.07,5.37,8.92,5.48,3634,3.19,96.81,37232,3829
"1:34","Izard",2021-02-28,41,65,65,1632,15470,1583,17210,8,13559,1261,371,10431,5039,1224,359,30,11,7,1,11692,5518,1261,10431,479,5039,1740,15470,-20,-19,1,-1,12.04,126.13,-14.75,5.16,9.54,2000,1624,2.52,97.48,13150,3952
"1:35","Jackson",2021-02-28,33,67,67,3172,23998,3133,27397,6,17225,2412,760,18245,5753,2390,743,21,12,1,5,20657,6740,2412,18245,987,5753,3399,23998,37,37,0,66,18.42,157.74,21.48,0.58,11.67,56.06,3166,1.04,98.96,14343,12827
"1:36","Jefferson",2021-02-28,159,69,69,8604,80027,8342,89010,101,70424,6580,2024,62699,17328,6402,1940,128,31,48,53,69279,19731,6580,62699,2403,17328,8983,80027,-7,4,-8,478,12.22,125.85,-0.99,6.82,9.71,-1.46,8501,1.87,98.13,53455,35177
"1:37","Johnson",2021-02-28,30,71,71,2755,23784,2663,26592,62,26291,2286,469,22431,1353,2217,446,24,6,45,17,24717,1875,2286,22431,522,1353,2808,23784,14,15,-1,1278,10.48,100.94,5.33,17.12,10.38,1.1,2693,1.11,98.89,21161,5378
"1:38","Lafayette",2021-02-28,8,73,73,534,3229,519,3800,6,6915,370,164,2728,501,358,161,6,2,6,NA,3098,702,370,2728,201,501,571,3229,31,32,0,34,7.72,54.42,44.83,8.68,14.19,91.18,527,1.52,98.48,2988,775
"1:39","Lawrence",2021-02-28,41,75,75,2047,13912,1984,16060,22,16669,1656,391,12424,1488,1602,382,37,4,17,5,14080,1980,1656,12424,492,1488,2148,13912,36,35,0,71,12.28,95.74,21.6,10.2,12.83,50.7,2025,2.02,97.98,13983,1976
