"","Date","Cases_Male","Cases_Female","Cases_Gender_Unknown","New_Cases_Male","New_Cases_Female","New_Cases_Gender_Unknown"
"91",2021-02-03,139896,157695,931,1109,1268,-1859
"92",2021-02-02,138787,156427,2790,715,751,1873
"93",2021-02-01,138072,155676,917,542,617,-1762
"94",2021-01-31,137530,155059,2679,389,496,-4
"95",2021-01-30,137141,154563,2683,879,982,1788
"96",2021-01-29,136262,153581,895,757,957,-1832
"97",2021-01-28,135505,152624,2727,915,1059,1845
"98",2021-01-27,134590,151565,882,814,957,-1921
"99",2021-01-26,133776,150608,2803,1154,1313,1936
"100",2021-01-25,132622,149295,867,287,392,-1961
"101",2021-01-24,132335,148903,2828,509,558,4
"102",2021-01-23,131826,148345,2824,733,868,12
"103",2021-01-22,131093,147477,2812,969,1111,82
"104",2021-01-21,130124,146366,2730,1413,1597,1899
"105",2021-01-20,128711,144769,831,1124,1305,-1712
"106",2021-01-19,127587,143464,2543,606,692,1732
"107",2021-01-18,126981,142772,811,463,593,6
"108",2021-01-17,126518,142179,805,489,542,-1707
"109",2021-01-16,126029,141637,2512,1167,1358,1720
"110",2021-01-15,124862,140279,792,1398,1557,-1533
"111",2021-01-14,123464,138722,2325,1016,1307,1551
"112",2021-01-13,122448,137415,774,1130,1284,-1330
"113",2021-01-12,121318,136131,2104,1458,1764,1350
"114",2021-01-11,119860,134367,754,587,684,-1366
"115",2021-01-10,119273,133683,2120,1533,1813,-16
"116",2021-01-09,117740,131870,2136,1341,1586,-41
"117",2021-01-08,116399,130284,2177,1267,1641,1458
"118",2021-01-07,115132,128643,719,1490,1823,10
"119",2021-01-06,113642,126820,709,1678,2033,16
"120",2021-01-05,111964,124787,693,1763,2187,-1287
"121",2021-01-04,110201,122600,1980,544,720,42
"122",2021-01-03,109657,121880,1938,997,1065,-29
"123",2021-01-02,108660,120815,1967,986,1080,-66
"124",2021-01-01,107674,119735,2033,1924,2281,1382
"125",2020-12-31,105750,117454,651,1200,1499,-1274
"126",2020-12-30,104550,115955,1925,1327,1732,125
"127",2020-12-29,103223,114223,1800,1133,1453,132
"128",2020-12-28,102090,112770,1668,799,874,-22
"129",2020-12-27,101291,111896,1690,418,524,-34
"130",2020-12-26,100873,111372,1724,340,377,-15
"131",2020-12-25,100533,110995,1739,964,1070,88
"132",2020-12-24,99569,109925,1651,1508,1630,66
"133",2020-12-23,98061,108295,1585,1354,1484,55
"134",2020-12-22,96707,106811,1530,826,1095,20
"135",2020-12-21,95881,105716,1510,660,786,11
"136",2020-12-20,95221,104930,1499,727,842,-33
"137",2020-12-19,94494,104088,1532,1381,1313,-1
"138",2020-12-18,93113,102775,1533,1270,1480,128
"139",2020-12-17,91843,101295,1405,1420,1545,74
"140",2020-12-16,90423,99750,1331,1024,1223,59
"141",2020-12-15,89399,98527,1272,953,1115,73
"142",2020-12-14,88446,97412,1199,658,703,-6
"143",2020-12-13,87788,96709,1205,630,805,15
"144",2020-12-12,87158,95904,1190,1158,1401,69
"145",2020-12-11,86000,94503,1121,1301,1443,26
