"","County_Name","Date","Keej_ko_rej_active","Oran_Case_ko_rej_Positive","Oran_rimej_ro","Percent_in_Aolepen_Oran","Case_ko_rōkāāl_rainin","Keej_ko_rej_Active_iaan_10K_armej"
"332","Franklin",2020-09-05,24,182,2,4.14,0,NA
"333","Fulton",2020-09-05,16,84,1,8.25,4,NA
"334","Garland",2020-09-05,145,1501,31,6.46,2,NA
"335","Grant",2020-09-05,27,202,1,5.2,3,NA
"336","Greene",2020-09-05,50,660,5,6.24,2,NA
"337","Hempstead",2020-09-05,6,335,3,8.7,0,NA
"338","HotSpring",2020-09-05,49,1741,21,16.78,5,NA
"339","Howard",2020-09-05,35,435,5,11.86,4,NA
"340","Independence",2020-09-05,84,806,8,9.01,3,NA
"341","Izard",2020-09-05,17,109,0,3.7,0,NA
"342","Jackson",2020-09-05,19,194,1,3.63,0,NA
"343","Jefferson",2020-09-05,294,2241,51,9.3,50,NA
"344","Johnson",2020-09-05,16,777,4,11.94,2,NA
"345","Lafayette",2020-09-05,4,74,2,8.43,0,NA
"346","Lawrence",2020-09-05,21,263,11,8.25,1,NA
"347","Lee",2020-09-05,16,1010,11,23.31,1,NA
"348","Lincoln",2020-09-05,361,1754,13,23.81,17,NA
"349","LittleRiver",2020-09-05,23,300,15,16.94,1,NA
"350","Logan",2020-09-05,13,367,1,6.35,0,NA
"351","Lonoke",2020-09-05,89,767,5,5.54,5,NA
"352","Madison",2020-09-05,10,308,2,8.2,0,NA
"353","Marion",2020-09-05,9,51,0,2.85,0,NA
"354","Miller",2020-09-05,47,646,10,10.87,4,NA
"355","MissingCountyInfo",2020-09-05,275,1214,0,4.87,-16,NA
"356","Mississippi",2020-09-05,90,1405,32,12.69,4,NA
"357","Monroe",2020-09-05,10,100,0,5.16,3,NA
"358","Montgomery",2020-09-05,44,118,4,7.78,0,NA
"359","Nevada",2020-09-05,6,165,12,6.86,0,NA
"360","Newton",2020-09-05,25,138,15,9.6,2,NA
"361","Ouachita",2020-09-05,35,175,5,3.89,0,NA
"362","Perry",2020-09-05,4,63,0,2.84,1,NA
"363","Phillips",2020-09-05,17,414,10,7.43,0,NA
"364","Pike",2020-09-05,7,183,1,9.21,1,NA
"365","Poinsett",2020-09-05,73,511,6,8.02,2,NA
"366","Polk",2020-09-05,16,234,4,6.81,2,NA
"367","Pope",2020-09-05,122,1832,20,9.89,13,NA
"368","Prairie",2020-09-05,5,121,1,7.02,1,NA
"369","Pulaski",2020-09-05,722,7441,113,7.06,74,NA
"370","Randolph",2020-09-05,8,319,17,7.9,2,NA
"371","Saline",2020-09-05,223,1676,14,7.47,10,NA
"372","Scott",2020-09-05,1,89,0,5.7,0,NA
"373","Searcy",2020-09-05,33,114,0,6.84,1,NA
"374","Sebastian",2020-09-05,210,2983,35,8.31,16,NA
"375","Sevier",2020-09-05,10,1167,14,17.05,3,NA
"376","Sharp",2020-09-05,8,154,5,5,1,NA
"377","St.Francis",2020-09-05,77,1364,4,12.06,2,NA
"378","Stone",2020-09-05,56,231,4,8.42,19,NA
"379","Union",2020-09-05,57,724,21,9.1,3,NA
"380","VanBuren",2020-09-05,29,140,2,4.64,2,NA
"381","Washington",2020-09-05,730,7577,78,11.04,148,NA
"382","White",2020-09-05,73,564,12,5.2,0,NA
"383","Woodruff",2020-09-05,1,28,0,2.03,0,NA
"384","Yell",2020-09-05,28,1177,25,13.15,4,NA
"385","Arkansas_all_counties",2020-09-06,6188,65924,894,8.47,698,0
"386","Arkansas_county",2020-09-06,27,298,4,6.66,4,NA
"387","Ashley",2020-09-06,8,390,7,8.58,1,NA
"388","Baxter",2020-09-06,22,149,1,5.01,2,NA
"389","Benton",2020-09-06,342,5632,59,8.54,33,NA
"390","Boone",2020-09-06,114,408,4,5.7,15,NA
"391","Bradley",2020-09-06,26,311,6,9.17,8,NA
"392","Calhoun",2020-09-06,1,24,0,1.85,1,NA
"393","Carroll",2020-09-06,51,501,8,7.91,15,NA
"394","Chicot",2020-09-06,24,969,11,18.36,0,NA
"395","Clark",2020-09-06,39,263,4,5.17,8,NA
"396","Clay",2020-09-06,37,209,5,6.23,6,NA
"397","Cleburne",2020-09-06,16,267,7,5.5,3,NA
"398","Cleveland",2020-09-06,7,142,7,6.67,1,NA
"399","Columbia",2020-09-06,26,317,15,7.9,2,NA
"400","Conway",2020-09-06,20,219,3,4.32,3,NA
"401","Craighead",2020-09-06,323,2079,16,7.65,57,NA
"402","Crawford",2020-09-06,114,992,9,6.46,21,NA
"403","Crittenden",2020-09-06,77,1713,35,12.49,10,NA
"404","Cross",2020-09-06,47,304,5,8.13,1,NA
"405","Dallas",2020-09-06,36,135,2,8.15,0,NA
"406","Desha",2020-09-06,24,253,5,7.63,1,NA
"407","Drew",2020-09-06,22,319,5,6.42,10,NA
"408","Faulkner",2020-09-06,193,1790,9,5.95,20,NA
"409","Franklin",2020-09-06,28,187,2,4.12,5,NA
"410","Fulton",2020-09-06,16,84,1,8.22,0,NA
"411","Garland",2020-09-06,151,1518,32,6.5,17,NA
"412","Grant",2020-09-06,26,204,1,5.23,2,NA
"413","Greene",2020-09-06,58,669,5,6.25,9,NA
"414","Hempstead",2020-09-06,6,335,3,8.67,0,NA
"415","HotSpring",2020-09-06,51,1746,23,16.76,5,NA
"416","Howard",2020-09-06,32,435,7,11.81,0,NA
"417","Independence",2020-09-06,83,813,8,9.07,7,NA
"418","Izard",2020-09-06,16,111,0,3.74,2,NA
"419","Jackson",2020-09-06,16,194,1,3.61,0,NA
"420","Jefferson",2020-09-06,323,2285,52,9.42,44,NA
"421","Johnson",2020-09-06,23,785,4,11.88,8,NA
"422","Lafayette",2020-09-06,5,76,2,8.59,2,NA
"423","Lawrence",2020-09-06,26,268,11,8.26,5,NA
"424","Lee",2020-09-06,18,1013,11,23.33,3,NA
"425","Lincoln",2020-09-06,365,1759,13,23.83,5,NA
"426","LittleRiver",2020-09-06,26,304,16,17.09,4,NA
"427","Logan",2020-09-06,14,369,1,6.36,2,NA
"428","Lonoke",2020-09-06,93,776,5,5.56,9,NA
"429","Madison",2020-09-06,11,308,2,8.15,0,NA
"430","Marion",2020-09-06,9,51,0,2.84,0,NA
"431","Miller",2020-09-06,56,656,10,10.97,10,NA
"432","MissingCountyInfo",2020-09-06,287,1227,0,4.63,13,NA
"433","Mississippi",2020-09-06,105,1433,32,12.77,28,NA
"434","Monroe",2020-09-06,10,100,0,5.13,0,NA
"435","Montgomery",2020-09-06,41,118,4,7.54,0,NA
"436","Nevada",2020-09-06,5,166,12,6.89,1,NA
"437","Newton",2020-09-06,31,144,15,9.87,6,NA
"438","Ouachita",2020-09-06,35,179,5,3.97,4,NA
"439","Perry",2020-09-06,4,63,0,2.83,0,NA
"440","Phillips",2020-09-06,15,415,10,7.42,1,NA
"441","Pike",2020-09-06,8,186,1,9.33,3,NA
"442","Poinsett",2020-09-06,69,517,6,8.06,6,NA
"443","Polk",2020-09-06,19,238,4,6.87,4,NA
"444","Pope",2020-09-06,155,1871,20,10.03,39,NA
"445","Prairie",2020-09-06,5,121,1,7,0,NA
"446","Pulaski",2020-09-06,718,7501,113,7.05,60,NA
"447","Randolph",2020-09-06,11,322,18,7.92,3,NA
"448","Saline",2020-09-06,216,1687,14,7.47,11,NA
"449","Scott",2020-09-06,2,90,0,5.73,1,NA
"450","Searcy",2020-09-06,31,115,0,6.87,1,NA
"451","Sebastian",2020-09-06,237,3021,35,8.37,38,NA
