"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recuperaciones","Total_Tests","Casos_Activos","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","Confirmado_Activo","Probable_Activo","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Nuevos_Casos_Hoy","Recovered_Since_Yesterday","Nuevas_Muertes_Hoy","New_Tests_Dashboard","Cases_Population","Población_Probada","Nuevos_Casos_Hoy_por_cada_10k_Residentes","Casos_Activos_por_cada_10k_Residentes","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Porcentaje_Positivo_de_Novedades_en_el_Tablero","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:30","Hempstead",2021-08-16,20,NA,NA,2381,22740,2246,25218,115,22018,22018,1734,647,NA,NA,1639,607,12,8,83,32,21601,3617,1734,19867,744,2873,2478,22740,1,12,0,75,10.81,114.09,0.45,52.23,37.6964301934781,9.48,1.33,2266,0.88,99.12,21241,3880
"1:31","Hot Spring",2021-08-16,90,NA,NA,6526,74567,6061,81236,374,33520,33520,5721,805,NA,NA,5354,707,78,12,288,86,57692,23544,5721,51971,950,22594,6671,74565,11,35,0,316,19.47,241.92,3.28,111.58,85.9188544152745,8.05,3.48,6151,1.46,98.54,55700,25393
"1:32","Howard",2021-08-16,28,NA,NA,1915,14378,1802,16398,85,13389,13389,1236,679,NA,NA,1148,654,24,4,64,21,11529,4869,1236,10293,784,4085,2020,14378,1,12,0,24,14.3,121.69,0.75,63.48,47.8004331914258,11.75,4.17,1830,1.53,98.47,13763,2530
"1:33","Independence",2021-08-16,134,NA,NA,4913,55186,4482,60342,297,37264,37264,2951,1962,NA,NA,2732,1750,98,36,121,176,40800,19542,2951,37849,2205,17337,5156,55186,5,36,2,77,13.18,161.28,1.34,79.7,32.4710176041219,8.17,6.49,4616,2.9,97.1,55437,4662
"1:34","Izard",2021-08-16,47,NA,NA,2097,23386,1958,25622,92,13559,13559,1504,593,NA,NA,1424,534,36,11,44,48,15194,10428,1504,13690,732,9696,2236,23386,7,14,0,425,15.47,187.94,5.16,67.85,32.4507707058043,8.23,1.65,2005,2.34,97.66,21281,4202
"1:35","Jackson",2021-08-16,38,NA,NA,3561,34520,3411,38323,111,17225,17225,2565,996,NA,NA,2504,908,23,15,38,73,24961,13362,2565,22396,1238,12124,3803,34520,3,18,0,384,20.67,221.08,1.74,64.44,22.0609579100145,9.35,0.78,3449,1.1,98.9,23599,14482
"1:36","Jefferson",2021-08-16,194,NA,NA,11062,117279,10298,128964,566,70424,70424,7672,3390,NA,NA,7232,3068,141,53,297,269,89341,39623,7672,81669,4014,35609,11686,117278,14,69,1,906,15.71,182.24,1.99,80.37,42.1731227990458,8.62,1.55,10492,1.85,98.15,82944,45397
"1:37","Johnson",2021-08-16,43,NA,NA,3521,32074,3281,35695,197,26291,26291,2763,758,NA,NA,2605,676,35,8,123,74,32046,3649,2763,29283,858,2791,3621,32074,4,22,0,22,13.39,135.39,1.52,74.93,46.7840705945,9.89,18.18,3324,1.29,98.71,28954,6641
"1:38","Lafayette",2021-08-16,11,NA,NA,673,4404,613,5122,48,6915,6915,444,229,NA,NA,415,199,8,3,21,27,3881,1241,444,3437,274,967,718,4404,2,10,0,10,9.73,73.42,2.89,69.41,30.3687635574837,13.26,20,624,1.76,98.24,4158,919
"1:39","Lawrence",2021-08-16,43,NA,NA,2452,20276,2291,22853,118,16669,16669,1891,561,NA,NA,1789,502,39,4,63,55,18989,3864,1891,17098,686,3178,2577,20276,5,11,0,56,14.71,136.35,3,70.79,37.7947087407763,10.79,8.93,2334,1.84,98.16,20549,2179
