"","Date","Casos_0_10","Casos_11_17","Casos_18_24","Casos_25_34","Casos_35_44","Cases_45_54","Casos_45_54","Casos_65","Casos_Desconocidos","Muertes_0_10","Muertes_11_17","Muertes_18_24","Muertes_25_34","Muertes_35_44","Muertes_45_54","Muertes_55_64","Muertes_65","Muertes_Desconocidos","Casos_0_17","Casos_25_44","Casos_45_64","Muertes_0_17","Muertes_25_44","Muertes_45_64","Nuevos_Casos_0_10","Nuevos_Casos_11_17","Nuevos_Casos_18_24","Nuevos_Casos_25_34","Nuevos_Casos_35_44","Nuevos_Casos_45_54","Nuevos_Casos_55_64","Nuevos_Casos_65","Nuevas_Muertes_0_10","Nuevas_Muertes_11_17","Nuevas_Muertes_18_24","Nuevas_Muertes_25_34","Nuevas_Muertes_35_44","Nuevas_Muertes_45_54","Nuevas_Muertes_55_64","Nuevas_Muertes_65","Nuevos_Casos_0_17","Nuevos_Casos_25_44","Nuevos_Casos_45_64","Nuevas_Muertes_0_17","Nuevas_Muertes_25_44","Nuevas_Muertes_45_64"
"1:112",2021-02-09,18555,26265,39936,49513,47002,43905,38103,45569,0,0,0,6,38,79,224,600,4201,0,NA,NA,NA,NA,NA,NA,120,155,168,232,214,206,168,212,0,0,0,1,1,2,3,35,NA,NA,NA,NA,NA,NA
"1:113",2021-02-08,18435,26110,39768,49281,46788,43699,37935,45357,0,0,0,6,37,78,222,597,4166,0,NA,NA,NA,NA,NA,NA,44,48,80,93,102,91,97,82,0,0,0,0,2,2,4,22,NA,NA,NA,NA,NA,NA
"1:114",2021-02-07,18391,26062,39688,49188,46686,43608,37838,45275,0,0,0,6,37,76,220,593,4144,0,NA,NA,NA,NA,NA,NA,54,61,78,92,100,82,87,118,0,0,0,0,0,2,3,10,NA,NA,NA,NA,NA,NA
"1:115",2021-02-06,18337,26001,39610,49096,46586,43526,37751,45157,0,0,0,6,37,76,218,590,4134,0,NA,NA,NA,NA,NA,NA,130,154,162,182,185,176,160,192,0,0,0,0,0,0,2,9,NA,NA,NA,NA,NA,NA
"1:116",2021-02-05,18207,25847,39448,48914,46401,43350,37591,44965,0,0,0,6,37,76,218,588,4125,0,NA,NA,NA,NA,NA,NA,139,269,175,236,258,242,246,259,0,0,0,0,0,0,4,37,NA,NA,NA,NA,NA,NA
"1:117",2021-02-04,18068,25578,39273,48678,46143,43108,37345,44706,0,0,0,6,37,76,218,584,4088,0,NA,NA,NA,NA,NA,NA,173,221,262,361,381,357,360,354,0,0,0,1,0,1,3,19,NA,NA,NA,NA,NA,NA
"1:118",2021-02-03,17895,25357,39011,48317,45762,42751,36985,44352,0,0,0,6,36,76,217,581,4069,0,NA,NA,NA,NA,NA,NA,170,251,294,351,331,367,301,361,0,0,0,0,1,2,8,35,NA,NA,NA,NA,NA,NA
"1:119",2021-02-02,17725,25106,38717,47966,45431,42384,36684,43991,0,0,0,6,36,75,215,573,4034,0,NA,NA,NA,NA,NA,NA,107,159,144,211,253,212,196,228,0,0,0,1,1,3,5,34,NA,NA,NA,NA,NA,NA
"1:120",2021-02-01,17618,24947,38573,47755,45178,42172,36488,43763,0,0,0,6,35,74,212,568,4000,0,NA,NA,NA,NA,NA,NA,70,110,124,211,171,181,172,187,0,0,0,0,0,0,1,26,NA,NA,NA,NA,NA,NA
"1:121",2021-01-31,17548,24837,38449,47544,45007,41991,36316,43576,0,0,0,6,35,74,212,567,3974,0,NA,NA,NA,NA,NA,NA,81,119,111,130,121,100,79,140,0,0,0,0,1,0,7,22,NA,NA,NA,NA,NA,NA
"1:122",2021-01-30,17467,24718,38338,47414,44886,41891,36237,43436,0,0,0,6,35,73,212,560,3952,0,NA,NA,NA,NA,NA,NA,132,184,182,269,261,242,251,303,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA
"1:123",2021-01-29,17335,24534,38156,47145,44625,41649,35986,43133,0,0,0,6,35,73,212,560,3945,0,NA,NA,NA,NA,NA,NA,137,254,200,235,241,222,196,222,0,0,0,0,0,2,6,39,NA,NA,NA,NA,NA,NA
"1:124",2021-01-28,17198,24280,37956,46910,44384,41427,35790,42911,0,0,0,6,35,73,210,554,3906,0,NA,NA,NA,NA,NA,NA,150,250,220,325,271,216,242,218,0,0,0,0,1,0,6,35,NA,NA,NA,NA,NA,NA
"1:125",2021-01-27,17048,24030,37736,46585,44113,41211,35548,42693,0,0,0,6,35,72,210,548,3871,0,NA,NA,NA,NA,NA,NA,124,243,185,275,248,257,210,235,0,0,1,0,0,2,5,44,NA,NA,NA,NA,NA,NA
"1:126",2021-01-26,16924,23787,37551,46310,43865,40954,35338,42458,0,0,0,5,35,72,208,543,3827,0,NA,NA,NA,NA,NA,NA,193,329,285,313,371,361,294,339,0,0,0,1,0,2,5,32,NA,NA,NA,NA,NA,NA
"1:127",2021-01-25,16731,23458,37266,45997,43494,40593,35044,42119,0,0,0,5,34,72,206,538,3795,0,NA,NA,NA,NA,NA,NA,51,53,63,103,95,84,72,115,0,0,0,0,0,0,4,40,NA,NA,NA,NA,NA,NA
"1:128",2021-01-24,16680,23405,37203,45894,43399,40509,34972,42004,0,0,0,5,34,72,206,534,3755,0,NA,NA,NA,NA,NA,NA,97,164,102,133,137,163,123,152,0,0,0,0,0,2,2,39,NA,NA,NA,NA,NA,NA
"1:129",2021-01-23,16583,23241,37101,45761,43262,40346,34849,41852,0,0,0,5,34,72,204,532,3716,0,NA,NA,NA,NA,NA,NA,117,165,213,253,241,206,202,216,0,0,0,0,0,2,1,11,NA,NA,NA,NA,NA,NA
"1:130",2021-01-22,16466,23076,36888,45508,43021,40140,34647,41636,0,0,0,5,34,72,202,531,3705,0,NA,NA,NA,NA,NA,NA,166,261,241,295,284,280,275,360,0,0,0,1,0,0,7,45,NA,NA,NA,NA,NA,NA
