"","Date","Name","Cumulative_Total","Active_Cases","Cumulative_Student_Cases","Cumulative_Faculty_Staff_Cases","Type"
"21100",2021-09-30,"EL DORADO SCHOOL DIST",89,22,65,15,"PUBLIC SCHOOL DISTRICT"
"173",2021-09-27,"EL DORADO SCHOOL DIST",83,28,59,15,"PUBLIC SCHOOL DISTRICT"
"352",2021-09-23,"EL DORADO SCHOOL DIST",76,26,51,15,"PUBLIC SCHOOL DISTRICT"
"579",2021-09-20,"EL DORADO SCHOOL DIST",58,14,41,10,"PUBLIC SCHOOL DISTRICT"
"788",2021-09-16,"EL DORADO SCHOOL DIST",49,17,35,7,"PUBLIC SCHOOL DISTRICT"
"1022",2021-09-13,"EL DORADO SCHOOL DIST",43,14,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1242",2021-09-09,"EL DORADO SCHOOL DIST",31,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1461",2021-09-06,"EL DORADO SCHOOL DIST",28,16,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1720",2021-09-02,"EL DORADO SCHOOL DIST",22,15,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1945",2021-08-30,"EL DORADO SCHOOL DIST",19,15,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2201",2021-08-26,"EL DORADO SCHOOL DIST",12,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"280",2021-09-27,"ELKINS SCHOOL DIST",37,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"441",2021-09-23,"ELKINS SCHOOL DIST",36,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"633",2021-09-20,"ELKINS SCHOOL DIST",34,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"857",2021-09-16,"ELKINS SCHOOL DIST",31,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1089",2021-09-13,"ELKINS SCHOOL DIST",28,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1295",2021-09-09,"ELKINS SCHOOL DIST",24,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1527",2021-09-06,"ELKINS SCHOOL DIST",22,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1746",2021-09-02,"ELKINS SCHOOL DIST",21,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2008",2021-08-30,"ELKINS SCHOOL DIST",16,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2252",2021-08-26,"ELKINS SCHOOL DIST",10,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"104",2021-10-04,"EMERSON",49,5,40,5,"PUBLIC SCHOOL DISTRICT"
"9710",2021-09-30,"EMERSON",48,6,39,5,"PUBLIC SCHOOL DISTRICT"
"258",2021-09-27,"EMERSON",46,6,37,5,"PUBLIC SCHOOL DISTRICT"
"671",2021-09-20,"EMERSON",42,5,33,5,"PUBLIC SCHOOL DISTRICT"
"868",2021-09-16,"EMERSON",40,7,31,5,"PUBLIC SCHOOL DISTRICT"
"1090",2021-09-13,"EMERSON",38,6,29,5,"PUBLIC SCHOOL DISTRICT"
"1322",2021-09-09,"EMERSON",32,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1491",2021-09-06,"EMERSON",32,12,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1698",2021-09-02,"EMERSON",30,18,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1906",2021-08-30,"EMERSON",26,23,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2121",2021-08-26,"EMERSON",24,22,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2386",2021-08-23,"EMERSON",7,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1560",2021-09-06,"ENGLAND SCHOOL DIST",13,5,10,0,"PUBLIC SCHOOL DISTRICT"
"1803",2021-09-02,"ENGLAND SCHOOL DIST",12,5,9,0,"PUBLIC SCHOOL DISTRICT"
"2209",2021-08-26,"ENGLAND SCHOOL DIST",10,8,6,0,"PUBLIC SCHOOL DISTRICT"
"2396",2021-08-23,"ENGLAND SCHOOL DIST",6,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2538",2021-08-19,"ENGLAND SCHOOL DIST",6,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"490",2021-09-23,"EPISCOPAL COLLEGIATE SCHOOL, LITTLE ROCK",11,5,NA,NA,"PRIVATE SCHOOL"
"690",2021-09-20,"EPISCOPAL COLLEGIATE SCHOOL, LITTLE ROCK",11,7,NA,NA,"PRIVATE SCHOOL"
"907",2021-09-16,"EPISCOPAL COLLEGIATE SCHOOL, LITTLE ROCK",10,5,NA,NA,"PRIVATE SCHOOL"
"82",2021-10-04,"ESTEM PUBLIC CHARTER SCHOOL DIST",102,7,76,18,"PUBLIC SCHOOL DISTRICT"
"11610",2021-09-30,"ESTEM PUBLIC CHARTER SCHOOL DIST",100,5,76,17,"PUBLIC SCHOOL DISTRICT"
"228",2021-09-27,"ESTEM PUBLIC CHARTER SCHOOL DIST",99,9,75,17,"PUBLIC SCHOOL DISTRICT"
"414",2021-09-23,"ESTEM PUBLIC CHARTER SCHOOL DIST",96,10,73,16,"PUBLIC SCHOOL DISTRICT"
"600",2021-09-20,"ESTEM PUBLIC CHARTER SCHOOL DIST",92,11,72,15,"PUBLIC SCHOOL DISTRICT"
"807",2021-09-16,"ESTEM PUBLIC CHARTER SCHOOL DIST",90,14,70,15,"PUBLIC SCHOOL DISTRICT"
"1032",2021-09-13,"ESTEM PUBLIC CHARTER SCHOOL DIST",83,13,64,15,"PUBLIC SCHOOL DISTRICT"
"1219",2021-09-09,"ESTEM PUBLIC CHARTER SCHOOL DIST",76,17,59,13,"PUBLIC SCHOOL DISTRICT"
"1440",2021-09-06,"ESTEM PUBLIC CHARTER SCHOOL DIST",70,21,55,13,"PUBLIC SCHOOL DISTRICT"
"1692",2021-09-02,"ESTEM PUBLIC CHARTER SCHOOL DIST",62,19,48,11,"PUBLIC SCHOOL DISTRICT"
"1925",2021-08-30,"ESTEM PUBLIC CHARTER SCHOOL DIST",56,18,45,9,"PUBLIC SCHOOL DISTRICT"
"2122",2021-08-26,"ESTEM PUBLIC CHARTER SCHOOL DIST",52,22,40,9,"PUBLIC SCHOOL DISTRICT"
"2340",2021-08-23,"ESTEM PUBLIC CHARTER SCHOOL DIST",35,12,28,5,"PUBLIC SCHOOL DISTRICT"
"2486",2021-08-19,"ESTEM PUBLIC CHARTER SCHOOL DIST",32,14,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2616",2021-08-16,"ESTEM PUBLIC CHARTER SCHOOL DIST",25,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1091",2021-09-13,"EUREKA SPRINGS SCHOOL DIST",31,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1227",2021-09-09,"EUREKA SPRINGS SCHOOL DIST",30,16,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1444",2021-09-06,"EUREKA SPRINGS SCHOOL DIST",29,20,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1699",2021-09-02,"EUREKA SPRINGS SCHOOL DIST",24,18,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1988",2021-08-30,"EUREKA SPRINGS SCHOOL DIST",13,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2210",2021-08-26,"EUREKA SPRINGS SCHOOL DIST",11,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1304",2021-09-09,"EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",19,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1518",2021-09-06,"EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",19,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1770",2021-09-02,"EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",17,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2035",2021-08-30,"EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",12,5,11,0,"PUBLIC SCHOOL DISTRICT"
"2239",2021-08-26,"EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",11,6,10,0,"PUBLIC SCHOOL DISTRICT"
"2416",2021-08-23,"EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",8,5,7,0,"PUBLIC SCHOOL DISTRICT"
"2549",2021-08-19,"EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",5,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"92",2021-10-04,"FARMINGTON SCHOOL DIST",107,6,83,6,"PUBLIC SCHOOL DISTRICT"
"9810",2021-09-30,"FARMINGTON SCHOOL DIST",106,6,83,5,"PUBLIC SCHOOL DISTRICT"
"281",2021-09-27,"FARMINGTON SCHOOL DIST",103,5,80,5,"PUBLIC SCHOOL DISTRICT"
"434",2021-09-23,"FARMINGTON SCHOOL DIST",100,8,77,5,"PUBLIC SCHOOL DISTRICT"
"601",2021-09-20,"FARMINGTON SCHOOL DIST",99,11,76,5,"PUBLIC SCHOOL DISTRICT"
"797",2021-09-16,"FARMINGTON SCHOOL DIST",95,15,71,5,"PUBLIC SCHOOL DISTRICT"
"1018",2021-09-13,"FARMINGTON SCHOOL DIST",88,15,66,5,"PUBLIC SCHOOL DISTRICT"
"1192",2021-09-09,"FARMINGTON SCHOOL DIST",83,26,62,5,"PUBLIC SCHOOL DISTRICT"
"1419",2021-09-06,"FARMINGTON SCHOOL DIST",73,26,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1666",2021-09-02,"FARMINGTON SCHOOL DIST",64,28,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1907",2021-08-30,"FARMINGTON SCHOOL DIST",51,23,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2115",2021-08-26,"FARMINGTON SCHOOL DIST",45,24,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2337",2021-08-23,"FARMINGTON SCHOOL DIST",27,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2489",2021-08-19,"FARMINGTON SCHOOL DIST",20,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2627",2021-08-16,"FARMINGTON SCHOOL DIST",11,10,NA,NA,"PUBLIC SCHOOL DISTRICT"
"24",2021-10-04,"FAYETTEVILLE SCHOOL DIST",187,17,162,23,"PUBLIC SCHOOL DISTRICT"
"3210",2021-09-30,"FAYETTEVILLE SCHOOL DIST",178,17,153,23,"PUBLIC SCHOOL DISTRICT"
"193",2021-09-27,"FAYETTEVILLE SCHOOL DIST",174,17,149,23,"PUBLIC SCHOOL DISTRICT"
"379",2021-09-23,"FAYETTEVILLE SCHOOL DIST",164,16,140,22,"PUBLIC SCHOOL DISTRICT"
"565",2021-09-20,"FAYETTEVILLE SCHOOL DIST",158,17,135,22,"PUBLIC SCHOOL DISTRICT"
"764",2021-09-16,"FAYETTEVILLE SCHOOL DIST",152,23,131,20,"PUBLIC SCHOOL DISTRICT"
"981",2021-09-13,"FAYETTEVILLE SCHOOL DIST",146,23,125,20,"PUBLIC SCHOOL DISTRICT"
"1181",2021-09-09,"FAYETTEVILLE SCHOOL DIST",134,30,116,17,"PUBLIC SCHOOL DISTRICT"
"1392",2021-09-06,"FAYETTEVILLE SCHOOL DIST",126,39,110,15,"PUBLIC SCHOOL DISTRICT"
"1634",2021-09-02,"FAYETTEVILLE SCHOOL DIST",113,41,97,15,"PUBLIC SCHOOL DISTRICT"
"1877",2021-08-30,"FAYETTEVILLE SCHOOL DIST",96,36,83,12,"PUBLIC SCHOOL DISTRICT"
"2118",2021-08-26,"FAYETTEVILLE SCHOOL DIST",79,23,66,12,"PUBLIC SCHOOL DISTRICT"
"2316",2021-08-23,"FAYETTEVILLE SCHOOL DIST",64,24,53,10,"PUBLIC SCHOOL DISTRICT"
"2467",2021-08-19,"FAYETTEVILLE SCHOOL DIST",51,28,42,8,"PUBLIC SCHOOL DISTRICT"
"2602",2021-08-16,"FAYETTEVILLE SCHOOL DIST",40,25,31,8,"PUBLIC SCHOOL DISTRICT"
"468",2021-09-23,"FLIPPIN SCHOOL DIST",43,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"658",2021-09-20,"FLIPPIN SCHOOL DIST",43,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"893",2021-09-16,"FLIPPIN SCHOOL DIST",39,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1532",2021-09-06,"FLIPPIN SCHOOL DIST",30,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1747",2021-09-02,"FLIPPIN SCHOOL DIST",30,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1974",2021-08-30,"FLIPPIN SCHOOL DIST",25,10,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2139",2021-08-26,"FLIPPIN SCHOOL DIST",24,17,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2328",2021-08-23,"FLIPPIN SCHOOL DIST",17,15,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2495",2021-08-19,"FLIPPIN SCHOOL DIST",13,12,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2659",2021-08-16,"FLIPPIN SCHOOL DIST",6,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"8510",2021-09-30,"FOREMAN SCHOOL DIST",55,7,46,6,"PUBLIC SCHOOL DISTRICT"
"259",2021-09-27,"FOREMAN SCHOOL DIST",51,6,42,6,"PUBLIC SCHOOL DISTRICT"
"427",2021-09-23,"FOREMAN SCHOOL DIST",51,9,41,6,"PUBLIC SCHOOL DISTRICT"
"580",2021-09-20,"FOREMAN SCHOOL DIST",47,14,38,6,"PUBLIC SCHOOL DISTRICT"
"794",2021-09-16,"FOREMAN SCHOOL DIST",44,16,35,6,"PUBLIC SCHOOL DISTRICT"
"990",2021-09-13,"FOREMAN SCHOOL DIST",39,20,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1233",2021-09-09,"FOREMAN SCHOOL DIST",25,14,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1481",2021-09-06,"FOREMAN SCHOOL DIST",20,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1748",2021-09-02,"FOREMAN SCHOOL DIST",16,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2022",2021-08-30,"FOREMAN SCHOOL DIST",10,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2240",2021-08-26,"FOREMAN SCHOOL DIST",7,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"48",2021-10-04,"FORREST CITY SCHOOL DIST",98,11,74,8,"PUBLIC SCHOOL DISTRICT"
"5210",2021-09-30,"FORREST CITY SCHOOL DIST",97,12,74,8,"PUBLIC SCHOOL DISTRICT"
"209",2021-09-27,"FORREST CITY SCHOOL DIST",90,12,70,6,"PUBLIC SCHOOL DISTRICT"
"396",2021-09-23,"FORREST CITY SCHOOL DIST",83,12,65,5,"PUBLIC SCHOOL DISTRICT"
"566",2021-09-20,"FORREST CITY SCHOOL DIST",79,17,NA,NA,"PUBLIC SCHOOL DISTRICT"
"775",2021-09-16,"FORREST CITY SCHOOL DIST",75,19,NA,NA,"PUBLIC SCHOOL DISTRICT"
"999",2021-09-13,"FORREST CITY SCHOOL DIST",71,18,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1185",2021-09-09,"FORREST CITY SCHOOL DIST",62,28,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1414",2021-09-06,"FORREST CITY SCHOOL DIST",50,28,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1667",2021-09-02,"FORREST CITY SCHOOL DIST",44,28,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1899",2021-08-30,"FORREST CITY SCHOOL DIST",34,25,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2163",2021-08-26,"FORREST CITY SCHOOL DIST",18,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2397",2021-08-23,"FORREST CITY SCHOOL DIST",10,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"4",2021-10-04,"FORT SMITH SCHOOL DIST",560,46,386,89,"PUBLIC SCHOOL DISTRICT"
"3100",2021-09-30,"FORT SMITH SCHOOL DIST",540,64,371,84,"PUBLIC SCHOOL DISTRICT"
"161",2021-09-27,"FORT SMITH SCHOOL DIST",522,70,358,81,"PUBLIC SCHOOL DISTRICT"
"334",2021-09-23,"FORT SMITH SCHOOL DIST",510,82,348,79,"PUBLIC SCHOOL DISTRICT"
"523",2021-09-20,"FORT SMITH SCHOOL DIST",473,87,316,74,"PUBLIC SCHOOL DISTRICT"
"730",2021-09-16,"FORT SMITH SCHOOL DIST",441,87,293,70,"PUBLIC SCHOOL DISTRICT"
"942",2021-09-13,"FORT SMITH SCHOOL DIST",417,95,280,65,"PUBLIC SCHOOL DISTRICT"
"1150",2021-09-09,"FORT SMITH SCHOOL DIST",367,90,249,57,"PUBLIC SCHOOL DISTRICT"
"1366",2021-09-06,"FORT SMITH SCHOOL DIST",340,140,233,55,"PUBLIC SCHOOL DISTRICT"
"1617",2021-09-02,"FORT SMITH SCHOOL DIST",311,150,204,52,"PUBLIC SCHOOL DISTRICT"
"1861",2021-08-30,"FORT SMITH SCHOOL DIST",247,122,163,45,"PUBLIC SCHOOL DISTRICT"
"2091",2021-08-26,"FORT SMITH SCHOOL DIST",199,104,122,44,"PUBLIC SCHOOL DISTRICT"
"2302",2021-08-23,"FORT SMITH SCHOOL DIST",133,70,76,38,"PUBLIC SCHOOL DISTRICT"
"2458",2021-08-19,"FORT SMITH SCHOOL DIST",103,63,54,34,"PUBLIC SCHOOL DISTRICT"
"2595",2021-08-16,"FORT SMITH SCHOOL DIST",73,49,36,26,"PUBLIC SCHOOL DISTRICT"
"49",2021-10-04,"FOUKE SCHOOL DIST",57,11,41,11,"PUBLIC SCHOOL DISTRICT"
"8610",2021-09-30,"FOUKE SCHOOL DIST",49,7,35,11,"PUBLIC SCHOOL DISTRICT"
"236",2021-09-27,"FOUKE SCHOOL DIST",48,8,34,11,"PUBLIC SCHOOL DISTRICT"
"415",2021-09-23,"FOUKE SCHOOL DIST",45,10,32,10,"PUBLIC SCHOOL DISTRICT"
"618",2021-09-20,"FOUKE SCHOOL DIST",41,9,29,9,"PUBLIC SCHOOL DISTRICT"
"834",2021-09-16,"FOUKE SCHOOL DIST",39,10,27,9,"PUBLIC SCHOOL DISTRICT"
"1054",2021-09-13,"FOUKE SCHOOL DIST",35,10,24,9,"PUBLIC SCHOOL DISTRICT"
"1323",2021-09-09,"FOUKE SCHOOL DIST",24,5,15,7,"PUBLIC SCHOOL DISTRICT"
"1519",2021-09-06,"FOUKE SCHOOL DIST",23,9,15,7,"PUBLIC SCHOOL DISTRICT"
"1757",2021-09-02,"FOUKE SCHOOL DIST",23,10,15,7,"PUBLIC SCHOOL DISTRICT"
"1975",2021-08-30,"FOUKE SCHOOL DIST",18,10,12,5,"PUBLIC SCHOOL DISTRICT"
"2186",2021-08-26,"FOUKE SCHOOL DIST",17,10,11,5,"PUBLIC SCHOOL DISTRICT"
"2365",2021-08-23,"FOUKE SCHOOL DIST",12,9,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2539",2021-08-19,"FOUKE SCHOOL DIST",6,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"469",2021-09-23,"FOUNTAIN LAKE SCHOOL DIST",56,5,38,10,"PUBLIC SCHOOL DISTRICT"
"608",2021-09-20,"FOUNTAIN LAKE SCHOOL DIST",55,10,37,10,"PUBLIC SCHOOL DISTRICT"
"782",2021-09-16,"FOUNTAIN LAKE SCHOOL DIST",55,18,37,10,"PUBLIC SCHOOL DISTRICT"
"984",2021-09-13,"FOUNTAIN LAKE SCHOOL DIST",51,22,34,10,"PUBLIC SCHOOL DISTRICT"
"1243",2021-09-09,"FOUNTAIN LAKE SCHOOL DIST",36,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1468",2021-09-06,"FOUNTAIN LAKE SCHOOL DIST",28,15,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1734",2021-09-02,"FOUNTAIN LAKE SCHOOL DIST",24,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1999",2021-08-30,"FOUNTAIN LAKE SCHOOL DIST",18,8,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2241",2021-08-26,"FOUNTAIN LAKE SCHOOL DIST",15,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2398",2021-08-23,"FOUNTAIN LAKE SCHOOL DIST",10,6,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2660",2021-08-16,"FOUNTAIN LAKE SCHOOL DIST",6,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
"9910",2021-09-30,"GENOA CENTRAL SCHOOL DIST",53,6,40,8,"PUBLIC SCHOOL DISTRICT"
"260",2021-09-27,"GENOA CENTRAL SCHOOL DIST",51,6,38,8,"PUBLIC SCHOOL DISTRICT"
"644",2021-09-20,"GENOA CENTRAL SCHOOL DIST",44,7,32,8,"PUBLIC SCHOOL DISTRICT"
"869",2021-09-16,"GENOA CENTRAL SCHOOL DIST",41,7,30,7,"PUBLIC SCHOOL DISTRICT"
"1078",2021-09-13,"GENOA CENTRAL SCHOOL DIST",36,8,25,7,"PUBLIC SCHOOL DISTRICT"
"1280",2021-09-09,"GENOA CENTRAL SCHOOL DIST",30,8,21,5,"PUBLIC SCHOOL DISTRICT"
"1482",2021-09-06,"GENOA CENTRAL SCHOOL DIST",29,13,20,5,"PUBLIC SCHOOL DISTRICT"
"1713",2021-09-02,"GENOA CENTRAL SCHOOL DIST",28,16,19,5,"PUBLIC SCHOOL DISTRICT"
"1966",2021-08-30,"GENOA CENTRAL SCHOOL DIST",17,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2166",2021-08-26,"GENOA CENTRAL SCHOOL DIST",16,12,NA,NA,"PUBLIC SCHOOL DISTRICT"
"50",2021-10-04,"GENTRY SCHOOL DIST",89,11,66,13,"PUBLIC SCHOOL DISTRICT"
"5710",2021-09-30,"GENTRY SCHOOL DIST",86,11,64,12,"PUBLIC SCHOOL DISTRICT"
"261",2021-09-27,"GENTRY SCHOOL DIST",80,6,61,10,"PUBLIC SCHOOL DISTRICT"
"397",2021-09-23,"GENTRY SCHOOL DIST",79,12,61,9,"PUBLIC SCHOOL DISTRICT"
"592",2021-09-20,"GENTRY SCHOOL DIST",75,12,58,8,"PUBLIC SCHOOL DISTRICT"
"835",2021-09-16,"GENTRY SCHOOL DIST",69,10,52,8,"PUBLIC SCHOOL DISTRICT"
"1033",2021-09-13,"GENTRY SCHOOL DIST",63,13,48,6,"PUBLIC SCHOOL DISTRICT"
"1220",2021-09-09,"GENTRY SCHOOL DIST",54,17,40,5,"PUBLIC SCHOOL DISTRICT"
"1436",2021-09-06,"GENTRY SCHOOL DIST",50,22,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1685",2021-09-02,"GENTRY SCHOOL DIST",42,22,NA,NA,"PUBLIC SCHOOL DISTRICT"
"1938",2021-08-30,"GENTRY SCHOOL DIST",33,16,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2164",2021-08-26,"GENTRY SCHOOL DIST",29,13,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2356",2021-08-23,"GENTRY SCHOOL DIST",17,10,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2487",2021-08-19,"GENTRY SCHOOL DIST",17,14,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2649",2021-08-16,"GENTRY SCHOOL DIST",9,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"878",2021-09-16,"GLEN ROSE SCHOOL DIST",86,6,59,9,"PUBLIC SCHOOL DISTRICT"
"1079",2021-09-13,"GLEN ROSE SCHOOL DIST",85,8,58,9,"PUBLIC SCHOOL DISTRICT"
"1305",2021-09-09,"GLEN ROSE SCHOOL DIST",60,6,39,8,"PUBLIC SCHOOL DISTRICT"
"1431",2021-09-06,"GLEN ROSE SCHOOL DIST",54,23,38,7,"PUBLIC SCHOOL DISTRICT"
"1648",2021-09-02,"GLEN ROSE SCHOOL DIST",51,35,36,6,"PUBLIC SCHOOL DISTRICT"
"1916",2021-08-30,"GLEN ROSE SCHOOL DIST",33,20,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2211",2021-08-26,"GLEN ROSE SCHOOL DIST",23,8,20,0,"PUBLIC SCHOOL DISTRICT"
"2540",2021-08-19,"GLEN ROSE SCHOOL DIST",11,6,11,0,"PUBLIC SCHOOL DISTRICT"
"2661",2021-08-16,"GLEN ROSE SCHOOL DIST",10,5,10,0,"PUBLIC SCHOOL DISTRICT"
"58",2021-10-04,"GOSNELL SCHOOL DIST",85,10,59,11,"PUBLIC SCHOOL DISTRICT"
"4210",2021-09-30,"GOSNELL SCHOOL DIST",82,15,56,11,"PUBLIC SCHOOL DISTRICT"
"185",2021-09-27,"GOSNELL SCHOOL DIST",76,19,51,11,"PUBLIC SCHOOL DISTRICT"
"380",2021-09-23,"GOSNELL SCHOOL DIST",74,16,50,10,"PUBLIC SCHOOL DISTRICT"
"562",2021-09-20,"GOSNELL SCHOOL DIST",63,18,40,9,"PUBLIC SCHOOL DISTRICT"
"822",2021-09-16,"GOSNELL SCHOOL DIST",54,12,32,9,"PUBLIC SCHOOL DISTRICT"
"1023",2021-09-13,"GOSNELL SCHOOL DIST",41,14,23,6,"PUBLIC SCHOOL DISTRICT"
"1234",2021-09-09,"GOSNELL SCHOOL DIST",36,14,21,5,"PUBLIC SCHOOL DISTRICT"
"1510",2021-09-06,"GOSNELL SCHOOL DIST",33,10,21,5,"PUBLIC SCHOOL DISTRICT"
"1758",2021-09-02,"GOSNELL SCHOOL DIST",29,10,17,5,"PUBLIC SCHOOL DISTRICT"
"2009",2021-08-30,"GOSNELL SCHOOL DIST",18,7,8,5,"PUBLIC SCHOOL DISTRICT"
"2187",2021-08-26,"GOSNELL SCHOOL DIST",17,10,7,5,"PUBLIC SCHOOL DISTRICT"
"2366",2021-08-23,"GOSNELL SCHOOL DIST",14,9,5,5,"PUBLIC SCHOOL DISTRICT"
"2521",2021-08-19,"GOSNELL SCHOOL DIST",9,7,NA,NA,"PUBLIC SCHOOL DISTRICT"
"59",2021-10-04,"GRAVETTE SCHOOL DIST",107,10,82,11,"PUBLIC SCHOOL DISTRICT"
"7110",2021-09-30,"GRAVETTE SCHOOL DIST",104,9,80,11,"PUBLIC SCHOOL DISTRICT"
"211",2021-09-27,"GRAVETTE SCHOOL DIST",103,11,79,11,"PUBLIC SCHOOL DISTRICT"
"416",2021-09-23,"GRAVETTE SCHOOL DIST",97,10,72,10,"PUBLIC SCHOOL DISTRICT"
"593",2021-09-20,"GRAVETTE SCHOOL DIST",92,12,68,10,"PUBLIC SCHOOL DISTRICT"
"798",2021-09-16,"GRAVETTE SCHOOL DIST",89,15,66,9,"PUBLIC SCHOOL DISTRICT"
"1000",2021-09-13,"GRAVETTE SCHOOL DIST",81,18,59,8,"PUBLIC SCHOOL DISTRICT"
"1198",2021-09-09,"GRAVETTE SCHOOL DIST",69,25,48,8,"PUBLIC SCHOOL DISTRICT"
"1398",2021-09-06,"GRAVETTE SCHOOL DIST",64,36,44,8,"PUBLIC SCHOOL DISTRICT"
"1643",2021-09-02,"GRAVETTE SCHOOL DIST",56,37,37,7,"PUBLIC SCHOOL DISTRICT"
"1889",2021-08-30,"GRAVETTE SCHOOL DIST",40,29,27,5,"PUBLIC SCHOOL DISTRICT"
"2113",2021-08-26,"GRAVETTE SCHOOL DIST",33,26,22,5,"PUBLIC SCHOOL DISTRICT"
"2349",2021-08-23,"GRAVETTE SCHOOL DIST",12,11,NA,NA,"PUBLIC SCHOOL DISTRICT"
"2550",2021-08-19,"GRAVETTE SCHOOL DIST",6,5,NA,NA,"PUBLIC SCHOOL DISTRICT"
